M1,M2,M3,K,A,B,E,G
4924.652529786975,467.2268677763864,299.99999999992957,5106.131427273284,12.941169925397306,-0.3373153058338375,39.81187110921528,54.893282116815314
4926.745306288447,461.4313581150992,299.9999999990178,5122.6687794818945,11.472008998364892,0.6581459130425711,32.218531623665264,61.64849992540546
4929.025393146871,463.1764798410049,299.99999999937427,5060.339952019195,7.299152506372821,10.379386227792983,33.52125306315856,63.10490143045131
4950.3844394998505,462.5032357991217,299.9999999960727,4893.288472057717,10.143239275792931,-2.5616830903554964,30.832826103970458,55.273150968754074
4935.985599454848,456.9338977014669,299.99999999964894,5031.076116100456,6.538356844501847,1.703336579684744,38.87395851533801,61.02759223408019
4919.492428561201,467.38941068177184,299.99999999993827,4911.923342622864,10.600298566182474,1.8200441782336416,36.79907476075486,62.62907279349766
4946.303661474903,467.11879840188504,299.9999999999868,5087.31227401259,9.651719063974733,2.608768296115454,35.64574846833889,51.97123907567989
4910.938932016345,467.42747670062437,299.99999999073856,5244.326067530047,10.180832165440325,0.9993249145336089,45.89711892936096,58.36035604429919
4917.074247726473,457.98688073717415,299.99999999994753,5288.306378084735,8.921053152589415,0.032500094539656486,38.056131293601034,64.45738200585092
4924.794530795202,455.8970601326022,299.9999999991942,4878.046999928108,6.705743811104474,1.7148679415940704,28.129224094072498,67.02151443654766
4922.485759018221,468.94036458913115,299.99999999987955,5204.880343381287,12.01100904034366,1.4626877167940264,33.49784241092627,55.78716018324599
4935.803158271241,469.99999999996004,286.6320234301011,5113.381777399811,12.657094750881031,-0.11793212157793644,51.46948379068269,50.840025563081234
4937.782063296419,469.99999999861814,299.9999999928218,4856.87819927771,6.3264553347013335,4.627140549162227,37.946814311258336,57.170267229992426
4917.2962602332755,458.00955784664035,299.9999999995768,5079.245034438735,7.911995291377655,2.658232605558733,35.67402798067063,67.37792348116423
4933.917105169259,460.1100763442309,299.9999999981085,5011.674966670791,9.808315071850874,5.263885068187451,23.75310725875313,62.61983647533318
4920.582128603111,468.7793914883056,299.9999999994322,5057.885284284628,10.605007737908611,6.179957207281752,40.128255404089806,59.452779562825675
