rho_m2m1,rho_m3m1,rho_km1,rho_am1,rho_bm1,rho_em1,rho_gm1,rho_m3m2,rho_km2,rho_am2,rho_bm2,rho_em2,rho_gm2,rho_km3,rho_am3,rho_bm3,rho_em3,rho_gm3,rho_ak,rho_bk,rho_ek,rho_gk,rho_ba,rho_ea,rho_ga,rho_eb,rho_gb,rho_ge
-0.02530562583589864,-0.8118675225059266,-0.4659234455200535,0.10654912869336718,-0.04623933588013328,0.5763912041642235,-0.8857188065978426,0.02630147020686039,0.008796789194829695,0.0004253339213868949,-0.012469599126374471,-0.011419888353741166,0.017954915827373026,0.2598368202675063,-0.09580679329872821,-0.04599684934823261,-0.7537334010640376,0.6921281500870279,-0.0637947886177028,0.14515065307477118,-0.04601338647000863,0.23204507159435706,0.057848673179991844,0.09346810417976646,-0.3783733844331642,-0.07996924869647831,0.10153997813273952,-0.6519699817324486
0.0011265822117066818,-0.8148799556984263,-0.4676255009655843,0.1117805720586571,-0.05217262313773714,0.5941366397989726,-0.8950495965199192,0.003758046983765501,0.0020570533467714107,0.008313655572316999,-0.0032628706363318424,0.02764702511214399,-0.029053387353861912,0.26585807140667633,-0.10180332679181295,-0.036437585780791974,-0.7749756877897853,0.7078158966254517,-0.0682447650819588,0.15067769036293407,-0.05616285449376332,0.2386948535922649,0.056042739009436494,0.0875582680524275,-0.37433391159545365,-0.0696871889003406,0.10017329730923766,-0.6584192097108182
0.0034807397500106313,-0.811024580344785,-0.46555594891123653,0.10982718438571204,-0.05564172477957199,0.5834702188796986,-0.8870643149803378,-0.004351811870141337,-0.001666126777652712,0.00010618829009362098,4.20119565252295e-06,-0.00010407905684635029,0.00010941621685433788,0.25960338557958673,-0.09882883661956385,-0.03519836234951391,-0.7633707478477809,0.6941439259461687,-0.06385203298263026,0.15016469882181832,-0.048022374449832705,0.23201709487680403,0.056967517296799663,0.09341883932598104,-0.37994760598617044,-0.07741300047406342,0.10745972091218378,-0.6557592242933302
0.015333331403033888,0.013326246719040468,-0.44400807501795914,0.05083840785345032,-0.14226842616961813,-0.04652774766963718,-0.5612478646117939,-0.002476815567727195,0.12132820105378954,0.07283418796153708,0.03357458667051082,0.7655972859685963,-0.6991583583751116,-0.0024138796184345933,-0.0011960081402509412,-0.0020849915121361542,0.009597700018510397,-0.0063863636183490325,-0.030332647379077655,0.16728201619620967,0.24658027650542597,-0.03298772278714381,0.05622250614274585,0.07427677064590599,-0.360065702172541,-0.07726794451514968,0.10679289391075637,-0.6605738628650177
0.019010660948512594,-0.013236391123898647,-0.4465920955561781,0.05332207268726136,-0.14496492271876166,-0.04680720996463629,-0.5623201475464387,0.006892185557125954,0.1201209935470937,0.0695317644721802,0.035017290096688275,0.7675858071901659,-0.7004458725323306,0.003201491865594187,-0.0004804630247734547,-6.97134408718401e-05,-0.0007281398821501806,0.001061986408726622,-0.031312251356818525,0.1670361208213144,0.24717893121895979,-0.031348719325106744,0.05909321442479089,0.07088795562957802,-0.3587241883679571,-0.07640248153780638,0.10673542621939722,-0.661568948183626
-0.01597361494629653,-0.8162174632714936,-0.46695068360947845,0.1104617420644558,-0.05596851230043095,0.5909529116801191,-0.8862525893113059,0.007782005068667664,0.007619999775781119,-0.00231472188603938,-0.002223638573469168,0.0027243300596824878,0.011846663226848147,0.2619528989414904,-0.10111194293649124,-0.0373962536106253,-0.7695881315337084,0.6997044930751344,-0.06441844163721773,0.14925571026924733,-0.05344760523905713,0.23275661808109488,0.05685643870233519,0.09526465594521348,-0.3821582097053031,-0.07550162350315683,0.10912989333342847,-0.6603672172631806
-0.02337861057792894,-0.8121867691047923,-0.4654163656518066,0.11319650215578511,-0.049877481633853055,0.5905483128581733,-0.8884746212689526,0.012183507694756285,-0.020701781031543333,-0.0014576010082567778,-0.013713471777652204,-0.024538578358049765,0.03623434763090092,0.2713113216762042,-0.10301412272532907,-0.036606184743889894,-0.7667941454165791,0.6947543779035784,-0.06610914226450332,0.15256386798501795,-0.056916774801694055,0.2305890283689422,0.05675140431376361,0.09662882688022996,-0.3800582439479053,-0.07319986254040979,0.09960894000678198,-0.6595516997762751
0.028899868124344273,0.0061904538522687454,-0.443453812002462,0.05157651750659065,-0.13798848343700154,-0.03680805903692154,-0.5712992699144182,0.017168951389632127,0.11663661139127192,0.07323627245476384,0.048082360246883775,0.7593792559045723,-0.6989191749617313,0.0006680782232428178,0.0019773972540497887,-0.004691006168738057,0.019144300635611004,-0.013085240204714828,-0.031183605131147166,0.1683722120771541,0.24448283288860898,-0.028965099239715412,0.059605095657131575,0.07394611638925934,-0.35932317673447567,-0.06521619344856833,0.09301508978458749,-0.6588549752386951
-0.0027567316014433622,-0.028896529415525535,-0.43728299362819023,0.04582419140813455,-0.12705303407743893,-0.033572217297997135,-0.5626875208589089,0.006965758840852926,0.12403401878038824,0.07510855711612595,0.029993071450795043,0.757853299795733,-0.6879840188683005,0.004031605653668707,-0.0010995251194386927,0.0015601108246486007,-0.017430319974751793,0.013446949652510193,-0.03038162611950056,0.16647892999380906,0.2471769817997182,-0.03235947301211719,0.05656337140143941,0.07307465465277702,-0.3587388519694656,-0.06982514584679032,0.10274222030296752,-0.665117867493385
0.002886801175723037,-0.005729962748019958,-0.44854705694768643,0.05462002122279607,-0.1504581397798406,-0.05372595483677643,-0.5558888704653314,-0.015480447777708562,0.12186321365279118,0.07856824706268403,0.02030720835962679,0.766235721715635,-0.6947188955404839,-0.00025035077214764957,-0.003340854508686804,0.0026919828477724008,-0.020720421181475823,0.015187214489282232,-0.030729933468055116,0.16622441305265234,0.2474963166286466,-0.03292262749299099,0.056679603153372275,0.07832997228754132,-0.36754866619779564,-0.08694825805193997,0.11989093715544784,-0.6608841251449082
