M1,M2,M3,K,A,B,E,G
4904.140181688817,465.4187078893566,299.9999999997229,5033.283336053492,4.78336823353132,1.3990733639749053,34.88169514263563,69.26752352549765
4920.91059361863,456.42114356059903,299.99999995913595,5107.259499906687,9.444172620222227,8.80727610103551,25.2580271500855,68.43140406066905
4922.793456263373,459.9744286647471,299.99999999904804,4995.716148245424,10.501960245543575,2.4076424232851146,19.634397299413397,66.0590747998222
4951.011598685664,452.42006143659046,299.9999999905951,4986.855024612271,8.952908792867536,5.7483032875533615,31.5406468074728,56.39974665365714
4905.998361866373,469.445775591331,299.99999999996595,4911.495062380067,6.555083337846553,6.806497629467542,33.982167754441306,68.4104779078604
4938.560344058214,465.0345770405664,299.999999999997,5120.282922255108,6.386412597248637,1.1191450621167331,38.59121723431939,58.38164885379968
4946.297721377715,469.9999999999438,291.61686803133523,5095.451418943433,15.844458162701116,-0.2053435004060006,43.41752906750155,46.2636875434282
4935.478316905661,460.5510767949682,299.9999999884426,5082.372730176806,11.189890605436378,4.226166403191364,37.43558802604424,57.26103275523725
4914.594046581839,457.45560758027244,299.9999999979392,5291.039294269526,7.281543922643425,2.2301053311900185,29.908365598947675,65.25536317875614
4919.386846660031,467.6551301811449,299.99999999102727,5244.712828539109,10.520322428536153,5.815339263158888,41.432962557886526,58.611005524448686
4917.279463845983,469.9999999899998,296.62567545644237,5141.744751784087,9.229701622662171,1.1125034498395703,40.588996351391614,60.62147813527975
4937.275057101353,469.99999999809813,293.712989578733,5102.998449856433,7.834334186443595,2.8692494913316806,42.5485566839842,56.652220341771894
4913.484553814308,454.28472537113487,299.99999999365167,5181.6008659537765,8.96426667681454,7.701047481941103,32.53122352520061,68.04751468453786
4941.839790154185,468.30035614273623,299.99999999013914,4920.811879554563,8.633604468265792,2.2480479035146383,35.312842752462025,55.56038138101276
4914.347497539704,469.6277147421578,299.9999999992446,5155.4000454939505,8.471370319855632,5.197059121233723,41.062001435844614,60.31521185024504
4938.372011237526,468.7802723375514,299.99999999790543,5012.431999687623,10.926768797473914,10.134568727687775,31.52053328467906,56.39755433058441
4926.38551774913,469.99999999781556,299.99999998578244,5164.11625886734,12.903554710483279,8.538740844791477,33.52168401810229,55.99990763037399
4930.911928116272,469.9999999999962,296.4885747308174,5059.00876217805,9.995045239585796,-0.28970798474398063,45.37787979633571,52.72974129091326
4918.410825474044,467.57959672756164,299.9999999971624,5076.9669655211665,9.241813688163665,8.432958328737966,36.20392729318968,61.841789360248
4943.190130795136,463.6039034125018,299.9999999999734,4987.17298330804,13.164530310492532,-4.468414989873739,37.93213514588103,51.46582968188537
4927.581843718191,457.3936101354643,299.99999999986517,4976.559747584166,13.432273149559718,2.1198201112601534,27.923967133245437,60.80199656664769
4916.494175866799,462.97688988102095,299.99999999999756,5135.053284638307,8.642595542552886,2.000586307261668,32.8778984635947,64.06502441370948
4948.6904755040505,469.99999999928804,296.88471111437093,4989.965306861503,6.502816092583428,-1.8049706368754386,44.208104043929275,49.81018814103707
4927.503590754409,461.5041715957181,299.99999999979957,5059.93667192203,11.5245941414082,-2.122542872897181,26.910436744134415,61.03911155900448
4943.2058804175,469.99999999976933,284.17753984614836,5193.947130067052,8.593758391320877,8.38989240826366,49.81475251155906,54.39926777835417
4943.839337334918,470.0,294.66274609776144,5025.836657426322,7.569440585375265,5.019923049601638,36.68595908191441,55.562924398728036
4931.29907221566,460.4163490290985,299.9999999977253,4897.255546193329,10.269274646369327,-2.565610522335359,33.6759403387036,61.286306775618364
4926.627956812634,456.48898118749213,299.99999999927695,4942.992007802219,5.533275749172383,1.0173545716301051,23.348195302649554,67.6024693874925
4926.675569613177,469.99999999999613,298.8634877285583,5330.145012495373,12.076620723046414,2.3228601361748322,46.60154600615833,52.37614123309494
4933.73037519104,465.3799082446338,299.9999999999592,4907.68554712773,12.406305897211967,-7.919218948291048,32.6631990894799,56.090765652276055
4921.5579424333855,463.22472178141163,299.9999999999784,4942.519259128633,15.018469491573992,7.127759976833741,28.2563974869041,61.06406541948018
4911.190727106021,465.8964043442593,299.99999999992747,5329.318862500124,9.921000191620546,8.568630622826836,36.3188740772828,61.25838578923735
4920.542385597358,467.22583062335195,299.9999999997088,5096.591184497033,7.070927784553401,0.11218245135619594,42.71708220760454,60.59600434050855
4926.534861900538,463.71535781038835,299.9999999975687,4888.804387998183,5.9252498126927255,-4.707697473458841,42.70406997393363,61.835169108215624
4933.080529842181,459.2681411265197,300.0,5084.278331020878,12.650461072243566,5.5936010717370355,33.74099338467002,58.448405085864565
4908.741117588107,460.95344209825475,299.9999999999647,5274.587863777276,12.581041535119098,5.774027429715589,36.067519260316644,61.470149900860925
4934.432748529884,453.47073881913866,299.9999999999985,5005.918505924463,11.157823410222752,5.03972303015574,18.591870505373397,64.190194739158
4918.229539375404,466.81175495942614,299.99999999970726,5158.1023724592715,7.426585239331984,5.008151804096988,36.285951031125094,61.36076559049807
4937.143848686083,456.1851853179649,299.99999999972846,4894.302897288314,10.08761377400424,3.2129977811608055,31.62900990666281,60.67879182441388
4923.286836127002,460.6686740367444,300.0,5063.996345835857,8.532951095552788,2.252978024976514,30.549462576333877,64.61752650560322
4927.529213072164,462.1268308179024,299.999999999967,4705.245013321662,6.059531841431199,1.0948039511775527,25.022357220647898,66.55577692204785
4922.8047238486115,461.2883147053421,299.9999999866911,5078.578215390744,12.743905249387872,0.2569468539754067,33.38373539590562,61.759218175676665
4939.39245265796,470.0,299.9999999995097,4909.700468237253,8.304515946261668,5.2635954776356835,33.38578492045088,57.629433257750975
4912.979708332326,466.27333248263426,299.9999999999183,4885.377290059835,9.16728656698151,11.22040938173937,36.730294745142636,65.79554338889767
4912.678773363612,469.99999999877105,299.35693343122676,5017.517707313574,10.692688261175007,4.096588770261974,40.468139358555945,63.34073421606071
4920.758664726357,463.27009969517303,299.99999999999943,4939.046191092344,6.182530643965086,0.6332461127673183,25.810789906270955,67.30757488004251
4918.260054562026,462.58542516441787,299.99999999991763,5005.962272300207,12.77884757706571,-0.7650057860367037,31.343213001713803,61.27074604419961
4924.488621506175,469.99999999999534,293.3992855164841,5014.861497527536,8.243500565299884,9.938677612623755,39.169094336060276,61.27647227302177
4922.909139737033,462.8897131901724,299.9999999995808,5099.771139030962,15.528260757614712,8.93764800285876,38.41248199006052,58.48459858869282
4935.396101563618,465.2491607986603,299.99999999741334,4909.289701220321,7.558350176337928,6.833928072144187,31.66055300049081,60.90137884627021
4942.040453499557,468.0604530625446,299.99999999873535,4943.610621024736,7.829842059002017,1.2938940575886744,27.0869956724781,55.77230406614979
4947.625997385321,469.99999999991394,296.15196739036725,5144.429970093168,10.441157849982563,8.986946319731866,41.76686504689804,50.04731630735571
4939.273065204011,469.9999999999783,291.0066709674163,4956.121698222215,10.580631782095544,5.945953309181882,39.129916116113314,56.137524508630506
4924.246919538398,461.64225934879323,299.9999999997368,4938.177949949968,9.789031644677285,10.665852444132765,30.667924125746524,62.09011489614951
4944.241545762694,462.51303791718385,299.99999999688987,4996.868994427265,6.191902963065699,7.271936070241411,27.23681126117405,60.018069362832776
4925.9388928968565,456.71987859364975,299.9999999999185,5070.746199933602,6.765770709082332,-1.7843611381640883,31.779812875550586,64.6643320799382
4933.242739602329,469.99999999760144,295.3637056355363,5080.076071298416,6.870513187615211,6.498982529192952,40.78195825480752,56.565670247513324
4936.675092610586,469.9999999999995,297.25110744326446,5015.024655891482,8.357479171708142,5.884439806776707,40.998261229455686,55.147860123143694
4929.4138791419155,469.53708003962726,299.9999999895612,5233.413331822652,10.687818294118065,3.127850889667737,38.81231735874697,54.469320037087066
4952.311544976238,463.70232245322643,299.9999999999989,5022.506964206566,10.275859779696402,2.9064962409606694,34.45382682180638,50.65328745814274
4927.757696902702,469.9999999991618,295.7940988347,5027.597776337826,10.194700548702514,3.911525769512753,39.188976801974086,58.05945003229139
4929.654556714442,469.9999999999924,298.6821616694416,5301.700441200244,10.11139744177648,-0.06463748833226012,42.43075673247564,54.125164131216074
4911.513847489,466.70708055054394,299.999999999497,5065.360357129289,11.175677867396049,5.024919456727256,35.80390632464371,62.2427622334075
4926.638394637934,459.40592780367757,299.99999999999716,5204.430304840724,8.238331367303314,5.10674398529186,29.37938066638777,63.694725753578275
4933.758372748304,469.8595442173468,299.9999999868158,4962.2212818232565,12.300142277646385,8.677780273070132,36.14643504984138,55.72886847478091
4947.7927363916715,459.32280974118044,299.9999999999704,5141.551127492342,8.185830780565423,7.435905325443834,28.103353952968035,57.57353962499234
4920.5927201791355,464.4743335144494,300.0,5198.195755055823,6.652495909386229,6.3325885935227895,33.65035823796214,64.0880474765562
4928.648959132483,466.7374090414906,299.99999999990905,5011.441659614967,6.887819798190687,4.278104476574005,37.445958154839204,60.80433582245575
4965.767620276864,469.99999999724963,279.88572851507126,5019.555118758938,9.696184814645276,-5.444340140323003,56.43529183818297,46.24633127511293
4952.901190729727,469.9999999999997,299.9999999999997,4990.240493476254,7.839291900166315,9.154327874305627,33.61145334035868,52.35760732456786
4938.464780721897,460.97019782254625,299.99999999928184,4977.994404158913,7.528896051966948,-1.2309528836486052,36.580802303325505,59.05387440900731
4937.65158649141,468.28654342258494,299.99999999995214,4958.395767531858,13.360889272572566,4.578942394350917,33.6618458013578,54.15734924573085
4927.930785372832,460.5982499708755,299.99999999997806,5199.433014230201,13.332044356349925,4.88043878990992,29.10571975678095,59.984099163140485
4930.387170763513,461.44744031213287,299.999999999898,4904.096682834552,8.63878741379396,2.0934731429168263,29.17163967383414,62.07766014940132
4956.105842478381,468.17439780369955,299.9999999918052,4823.809635334713,7.8941470909603515,0.4081576731063784,33.01412701491488,53.17880638023262
4916.135379292693,469.9999999999806,299.30423148146514,5077.015203530143,7.631232714870285,13.958771950361399,32.787002182189,63.88231649123397
4935.522291169337,468.96116663323295,299.9999999994464,5136.4565577568455,5.5127912700090365,1.1377719627937206,44.8186388851362,54.110077636002394
4950.0150487118335,469.99999999907794,295.22439000344997,5111.541213972372,11.278921503741879,5.972997618945407,41.83568274419284,48.872345679982914
4934.5260209937105,449.6691618914535,299.9999999999776,5083.137430073245,7.087402643607171,3.777392808862661,27.287453217991477,62.94906684344527
4933.941537765312,469.8057667089235,299.9999999999837,4847.882751851222,8.36157111371999,-6.695069934019185,39.01690782708222,58.18183667648781
4931.916021936134,461.07799478246204,299.99999999997885,5241.577624488462,7.393644580047522,1.3940670823842425,28.17955202762053,62.45776644290007
4913.073436306052,458.04098936059177,299.99999998465796,5129.858037229711,4.651367174738881,-0.934809856928635,33.237436221822016,70.72292057855019
4928.05847654514,460.0328746358775,299.99999999995293,5094.361110657745,3.8658808690824933,2.6588848284947337,26.13603983648099,67.01047282440622
4932.663034251749,464.0849366680483,299.9999999999858,4917.908185908781,18.395533423140602,9.311560115297805,37.93278746886395,54.72392171860399
4940.9337998840765,447.82639947769474,289.0580035993776,4828.069502798378,7.789483273092445,6.840001856834955,31.560421265797512,69.38131115493084
