0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state,15_state,16_state,17_state,18_state,19_state,20_state,21_state,22_state,23_state,24_state,25_state,26_state,27_state,28_state,29_state
6069.840275594579,6098.988850891105,6314.978717891352,6336.358090336745,6322.747920742486,6344.127293187878,6357.075964606434,6462.506265396901,6470.2754682480345,6562.706894471836,6575.655565890392,6576.317064066095,6584.086266917228,6597.034938335784,6615.163078321763,6570.4760973229695,6599.624672619496,6865.531192334066,6894.679767630592,6710.2344419773835,6723.1831133959395,6712.824176261095,6720.593379112229,6718.003644828517,6857.761989482932,6870.710660901488,6871.372159077191,6879.141361928325,6892.090033346881,6910.21817333286
6051.145488461753,6083.473636256828,6310.14281006979,6352.284380433551,6300.329387501106,6342.470957864865,6326.115253583725,6459.832805271498,6450.019382702813,6565.8689908216,6549.513286540459,6617.823983754045,6608.0105611853605,6591.654856904219,6568.756870910621,6556.055568252916,6588.383716047991,6855.43555865633,6887.763706451405,6715.558986023307,6699.203281742166,6712.287845167079,6702.474422598394,6705.745563454622,6865.248981225014,6848.893276943873,6917.203974157459,6907.3905515887745,6891.034847307633,6868.136861314035
6068.394457319479,6094.371167196296,6320.86375973961,6347.785917764106,6319.91831159193,6346.840469616426,6345.264722703627,6468.651180506465,6467.705732358785,6573.01791277718,6571.4421658643805,6600.885518949355,6599.940070801676,6598.364323888876,6596.158278210957,6572.0724646295,6598.049174506316,6867.64730616321,6893.624016040026,6720.8053335440345,6719.229586631235,6720.490184161475,6719.544736013795,6719.859885396355,6868.592754310889,6867.01700739809,6896.4603604830645,6895.514912335385,6893.939165422586,6891.7331197446665
6055.852194890724,6082.030280153924,6316.696857053901,6335.31025902323,6324.261540347771,6342.874942317101,6355.4827478068855,6473.186478138375,6480.751161432245,6580.063080315034,6592.670885804819,6591.111798990493,6598.676482284364,6611.284287774149,6628.935215459846,6587.627763608905,6613.805848872105,6900.607005777852,6926.785091041052,6736.552701399508,6749.160506889292,6739.0742624974655,6746.638945791336,6744.117384693379,6893.042322483981,6905.650127973765,6904.09104115944,6911.6557244533105,6924.263529943095,6941.914457628793
6079.149695111551,6102.205927322946,6320.6981768993055,6343.251032399128,6321.201553610878,6343.7544091107,6344.593370296654,6463.355551266344,6463.858927977917,6562.4144509242515,6563.253412110205,6584.463929712501,6584.967306424073,6585.806267610027,6586.980813270363,6562.917827635823,6585.974059847218,6848.232576369902,6871.2888085812965,6705.07182529129,6705.910786477244,6705.23961752848,6705.742994240053,6705.575202002862,6847.72919965833,6848.568160844284,6869.77867844658,6870.282055158152,6871.121016344106,6872.295562004441
6064.8867295487125,6089.148291143413,6317.620852555448,6335.129676027182,6324.373590678416,6341.882414150149,6353.1369776884285,6468.7482050005865,6475.500943123554,6572.605888269841,6583.86045180812,6583.3619736186065,6590.114711741574,6601.369275279853,6617.125664233444,6579.358626392808,6603.620187987509,6881.613331283084,6905.874892877785,6723.733240714979,6734.987804253258,6725.984153422634,6732.736891545602,6730.485978837946,6874.860593160117,6886.115156698396,6885.616678508883,6892.36941663185,6903.6239801701295,6919.38036912372
6057.692928153556,6100.866873372647,6302.976441553552,6340.731150753474,6308.395677572722,6346.150386772643,6355.1824468045925,6449.254009817887,6454.673245837057,6550.066366959939,6559.098426991888,6582.401840140691,6587.82107615986,6596.853136191809,6609.498020236539,6555.485602979108,6598.659548198199,6848.040739507779,6891.2146847268705,6696.343935224274,6705.375995256223,6698.150347230663,6703.569583249833,6701.763171243443,6842.62150348861,6851.653563520559,6874.956976669362,6880.376212688531,6889.40827272048,6902.05315676521
6072.390062719367,6100.400371932766,6323.828591251272,6353.132957991975,6322.534533723968,6351.838900464671,6349.682137919163,6471.138485632077,6469.844428104773,6574.835767274075,6572.679004728568,6605.434191542083,6604.140134014778,6601.98337146927,6598.963903905561,6573.541709746771,6601.552018960169,6868.161498508382,6896.17180772178,6722.14566165488,6719.988899109373,6721.714309145779,6720.420251618475,6720.851604127576,6869.455556035686,6867.2987934901785,6900.053980303694,6898.7599227763885,6896.603160230881,6893.583692667172
6065.553039223627,6091.68887301579,6318.659195791516,6342.517449606126,6320.936775769069,6344.795029583679,6348.5909962129335,6468.8839813068535,6471.161561284406,6572.524545685256,6576.320512314511,6594.105219522314,6596.382799499866,6600.178766129121,6605.493119410077,6574.802125662809,6600.937959454972,6875.251696693484,6901.3875304856465,6722.749331200594,6726.545297829848,6723.5085245264445,6725.786104503997,6725.026911178146,6872.974116715931,6876.770083345185,6894.554790552988,6896.832370530541,6900.628337159796,6905.942690440752
6065.7249553777965,6080.34834469258,6326.705908386846,6332.878770217423,6335.156435871053,6341.32929770163,6355.413510175308,6484.082285405535,6492.532812889742,6590.503703890632,6604.58791636431,6588.226038237002,6596.676565721209,6610.760778194887,6630.478675658036,6598.954231374839,6613.577620689623,6913.706985412217,6928.330374727001,6747.880080909321,6761.964293382999,6750.696923404056,6759.147450888263,6756.330608393528,6905.256457928011,6919.340670401689,6902.978792274381,6911.429319758588,6925.513532232266,6945.231429695415
