M1,M2,M3,K,A,B,E,G
4920.506563603517,465.6502700047363,299.9999999999578,4938.207816966638,7.891868041037599,3.9902927749823496,30.150380440208103,64.52985229846776
4936.728664059185,469.9999999989558,299.8356684372137,4828.5951555606,8.553923113873697,4.401341600920519,40.30740504496607,57.430462992279054
4919.231575800627,464.807046695693,299.99999999987,5171.648931466806,7.018806981541653,6.16451165847893,30.823762274812058,63.876068479390476
4936.998666085366,456.74860417742417,299.9999999999596,4901.647971870607,12.236309729390356,8.303552878741913,29.619748755070553,60.93703563194436
4939.500994453877,469.9999999995304,296.36562482639647,4869.908799126028,14.477635374142896,7.635191989679089,38.46764033836544,54.77818342954601
4922.249484371799,464.7567157995475,299.99999999999994,5016.162295896183,10.762153022275276,6.693401176216521,33.97223275090054,63.53442915984261
4932.561981165812,457.4702482121681,299.9999999999912,4861.813883746745,6.8966353414358155,7.174627488232541,29.03550072742165,66.73877444521585
4934.248775486233,459.09323433757487,299.9999999973694,5028.222645388685,9.428042004982176,7.142323585192454,28.402670636935735,60.77550779010263
4924.65890494945,463.95602253113896,299.99999999998687,4863.773785940273,11.840619622935629,7.669111538173145,35.23458084387828,60.07371912122441
4932.154963284393,452.3838680532275,299.999999999941,4802.084400914446,8.075747493826402,8.997636408577685,26.4985315523567,68.28084098226313
4917.477358683759,448.4853514615592,299.99999999998033,5159.259136223914,9.306577324935224,1.5815626409001702,17.272317449094263,70.40610385212895
4919.647387206325,464.6492708417878,299.9999999999061,5267.351133835966,5.245495040868727,1.480182123761943,38.31239084267955,63.06951360132407
4927.4840954892325,464.9858805626608,299.99999999999426,5090.426131887807,12.81042144966065,2.1348685616925542,31.54845646510742,58.286121916558244
4935.484220724247,469.99999999998886,295.58289164168144,5052.869143837148,7.227937914520303,-2.89842613760123,30.142286649138704,58.08621562679605
4920.083149736417,461.0206329830783,299.9999999998507,5088.972309169771,11.160522943834748,1.9292103259440079,37.81280036782536,58.83168356076788
4915.851009114701,449.0683087614026,299.9999999995162,4919.412305620676,7.7711763582398605,4.481711275986412,21.695568293266263,75.12923389986192
4931.624720880323,454.8316832984007,299.99999999988836,4959.203204861397,7.28829936255494,-3.104782561129597,28.528372259207377,64.57882590758557
4939.358885393098,469.999999999223,299.99999999976006,5036.3446864075095,10.529537863877604,1.6130896993971295,39.99546318211225,51.69816160539111
4911.855982642577,459.5418138782065,299.99999999992355,4971.466341800398,7.073583273129761,5.045506344597418,21.46563009095406,73.07226572589528
4906.418571622282,461.9951512750967,299.9999999999736,5264.341710876256,9.058977679245237,7.963421748546053,35.36161251731671,65.85361584212036
4957.893018272164,469.99999999999784,291.7696342731614,4989.3157759483065,8.234633262373412,3.430472871078362,45.99891415305582,50.898481854127745
