0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state,15_state,16_state,17_state,18_state,19_state,20_state,21_state,22_state,23_state,24_state,25_state,26_state,27_state,28_state,29_state
5934.7484030817295,5954.531422864197,6199.854766790284,6210.558494110823,6208.934059252213,6219.637786572752,6234.769940675967,6365.672836142417,6374.752128604346,6467.987561319481,6483.119715422696,6469.611996178091,6478.69128864002,6493.823442743234,6515.008458487736,6477.06685378141,6496.849873563878,6808.702992485675,6828.486012268143,6633.805630671614,6648.937784774829,6636.832061492258,6645.911353954187,6642.884923133543,6799.623700023746,6814.755854126961,6801.248134882357,6810.327427344285,6825.4595814475,6846.644597192001
5921.164258016287,5959.70723883887,6188.909472446524,6213.5074298881755,6202.854495827455,6227.452453269107,6250.694158903992,6358.188221589066,6372.133244969998,6461.3030280037365,6484.544733638621,6471.955962064458,6485.900985445388,6509.142691080273,6541.681078969113,6475.248051384668,6513.79103220725,6813.805549669754,6852.348530492337,6630.58177714628,6653.823482781165,6635.230118273257,6649.175141654188,6644.526800527211,6799.860526288823,6823.102231923708,6810.513460349544,6824.458483730475,6847.70018936536,6880.238577254199
5915.181248175092,5942.5710938137245,6195.896050828321,6217.644226489148,6201.537720806126,6223.285896466953,6232.688679763296,6369.768007621739,6375.409677599545,6478.4914101408185,6487.894193437161,6494.597915823841,6500.239585801645,6509.642369097988,6522.806265712868,6484.133080118624,6511.522925757256,6831.876993705462,6859.2668393440945,6652.363366934237,6661.76615023058,6654.243923593505,6659.885593571311,6658.005036912043,6826.235323727657,6835.6381070239995,6842.341829410679,6847.983499388483,6857.386282684826,6870.550179299706
5925.166286355883,5965.416199538406,6180.917149692849,6201.842724338419,6200.241488229801,6221.167062875372,6253.374293770292,6345.098934738679,6364.423273275631,6443.1094592087975,6475.3166901037175,6444.710695317416,6464.0350338543685,6496.242264749289,6541.332388002176,6462.43379774575,6502.683710928272,6790.79736783741,6831.047281019933,6607.291244254628,6639.498475149548,6613.732690433612,6633.057028970564,6626.61558279158,6771.473029300458,6803.680260195378,6773.074265409076,6792.398603946029,6824.605834840949,6869.695958093836
5927.809597838848,5946.946519845296,6193.183514402308,6207.279587465787,6198.224363345277,6212.320436408756,6220.721851313705,6357.48084437352,6362.521693316489,6460.237713946758,6468.639128851707,6469.292938067267,6474.333787010236,6482.735201915186,6494.497182782115,6465.278562889727,6484.415484896175,6793.873222832152,6813.0101448386,6624.53504391797,6632.936458822919,6626.21532689896,6631.256175841929,6629.575892860939,6788.832373889183,6797.233788794132,6797.887598009692,6802.928446952661,6811.329861857611,6823.09184272454
5929.101806192985,5962.713443403894,6202.764405967132,6227.2778328897875,6211.8626162553865,6236.376043178041,6251.539726991798,6374.13944390042,6383.237654188674,6479.459742504031,6494.623426317788,6494.874959138432,6503.973169426686,6519.136853240442,6540.366010579702,6488.557952792285,6522.169590003194,6831.30802865886,6864.919665869769,6650.834780437319,6665.998464251075,6653.867517200069,6662.965727488324,6659.932990725572,6822.209818370607,6837.373502184363,6837.625035005008,6846.723245293261,6861.886929107018,6883.116086446277
5925.55012875907,5951.350006745318,6202.654738223368,6225.632365412304,6205.476989020681,6228.454616209617,6233.158367538471,6373.057173865568,6375.87942466288,6480.700097953438,6485.403849282292,6500.85547434506,6503.677725142373,6508.381476471228,6514.966728331624,6483.52234875075,6509.322226736998,6824.32722003515,6850.1270980213985,6651.102533595638,6655.8062849244925,6652.043283861409,6654.865534658721,6653.924784392951,6821.504969237838,6826.208720566692,6841.660345629461,6844.482596426773,6849.186347755628,6855.771599616024
5932.214039628489,5952.171313248953,6200.5266350201755,6208.49321132668,6212.517332334135,6220.483908640639,6240.468404163905,6369.533342814373,6381.524040128333,6472.836129516514,6492.82062503978,6468.812008509059,6480.802705823018,6500.787201346284,6528.7654950788565,6484.826826830474,6504.784100450937,6822.840242418869,6842.797516039333,6641.842837310712,6661.827332833977,6645.839736415365,6657.830433729325,6653.833534624671,6810.849545104909,6830.834040628175,6806.825424097454,6818.816121411413,6838.800616934679,6866.778910667252
5929.358056934745,5941.113216644741,6210.866714098289,6220.904754204879,6212.583833701695,6222.621873808285,6225.483739813962,6383.734090673945,6385.451210277351,6492.947744462967,6495.809610468644,6501.268664966153,6502.985784569559,6505.847650575234,6509.854262983181,6494.664864066373,6506.42002377637,6840.399617217686,6852.154776927682,6665.815121038623,6668.6769870442995,6666.387494239759,6668.104613843165,6667.532240642029,6838.68249761428,6841.544363619956,6847.003418117465,6848.720537720871,6851.5824037265465,6855.589016134493
5936.229444045376,5962.43405613823,6194.774204390401,6216.78326817845,6198.969752695205,6220.978816483254,6227.971396991261,6354.635390613021,6358.830938917825,6454.7174808370255,6461.710061345032,6472.530996320272,6476.726544625075,6483.719125133081,6493.508737844291,6458.91302914183,6485.117641234683,6778.63540158707,6804.840013679924,6614.578667059645,6621.571247567652,6615.977183161247,6620.172731466051,6618.774215364449,6774.439853282266,6781.432433790273,6792.253368765512,6796.4489170703155,6803.441497578322,6813.231110289532
