0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state,15_state,16_state,17_state,18_state,19_state,20_state,21_state,22_state,23_state,24_state,25_state,26_state
5805.558568804228,6085.037406118094,6090.5886210676945,6258.042227089305,6272.145613169262,6263.593442038906,6277.696828118863,6286.948853034864,6366.366648415161,6375.618673331162,6371.917863364762,6717.927505307183,6539.371469386372,6548.623494302374,6547.923640516728,6553.474855466328,6562.726880382331,6575.679715264733,6541.221874369572,6546.773089319173,6555.325260449529,6560.87647539913,6570.1285003151315,6564.577285365531,6544.922684335973,6712.376290357583,6721.628315273584
5814.484622915622,6098.869584895873,6105.462518987614,6275.764064786736,6314.207878778759,6282.356998878477,6320.8008128705,6331.789036356735,6385.452191573373,6396.440415059608,6392.045125665114,6745.834085446839,6562.346671464235,6573.334894950471,6594.197551364517,6600.790485456258,6611.778708942494,6627.162221823223,6564.544316161482,6571.137250253223,6602.988130153505,6609.581064245246,6620.569287731481,6613.97635363974,6568.939605555976,6739.241151355098,6750.229374841333
5815.443165907756,6087.680011110067,6096.1928763301285,6257.616877891526,6278.2641654162,6266.129743111587,6286.777030636261,6300.965139336363,6362.7544780523995,6376.9425867525015,6371.2673432724605,6711.141076835378,6532.691344833858,6546.87945353396,6544.825767138471,6553.338632358532,6567.526741058634,6587.390093238776,6535.528966573878,6544.041831793939,6556.176254098552,6564.689119318613,6578.877228018715,6570.364362798654,6541.204210053919,6702.628211615317,6716.816320315419
5812.225461352741,6088.0160512691,6090.0597328588265,6257.506873725652,6297.1176906564315,6259.550555315379,6299.161372246158,6302.567508229035,6364.487868382033,6367.894004364911,6366.53154997176,6705.513194884866,6533.978690838587,6537.384826821464,6571.545826179639,6573.589507769366,6576.995643752243,6581.764234128272,6534.659918035162,6536.703599624889,6574.270734965941,6576.314416555668,6579.720552538545,6577.676870948819,6536.022372428313,6703.469513295139,6706.875649278017
5790.335911893785,6066.959000132877,6076.832132737364,6239.967687859142,6264.360594486148,6249.840820463629,6274.2337270906355,6290.688948098114,6346.873132573464,6363.328353580943,6356.7462651779515,6702.763640630482,6519.88182029973,6536.337041307209,6534.4015943222485,6544.274726926736,6560.7299479342155,6583.767257344686,6523.172864501225,6533.045997105713,6547.565771128232,6557.438903732719,6573.894124740198,6564.020992135711,6529.754952904217,6692.890508025995,6709.345729033474
5822.155116702344,6093.719463254802,6097.288677288401,6261.155264874069,6268.615831505271,6264.7244789076685,6272.18504553887,6278.13373559487,6366.47354781846,6372.42223787446,6370.04276185206,6704.914365090595,6533.9093494377275,6539.858039493727,6537.800702035329,6541.369916068928,6547.318606124929,6555.6467722033285,6535.099087448927,6538.668301482527,6542.559654080129,6546.1288681137285,6552.077558169728,6548.5083441361285,6537.478563471327,6701.345151056996,6707.293841112995
5817.443809951235,6086.902558744952,6090.740664597457,6253.115571474752,6282.17543599756,6256.953677327257,6286.013541850065,6292.410384937572,6357.64067615617,6364.037519243678,6361.478782008675,6693.904807468274,6523.85368888597,6530.250531973477,6549.075447556274,6552.913553408779,6559.310396496286,6568.265976818796,6525.133057503472,6528.971163355976,6554.19292202628,6558.031027878785,6564.427870966292,6560.5897651137875,6527.6917947384745,6690.0667016157695,6696.463544703277
5794.004371062789,6067.573145747297,6084.770563709063,6242.078179908197,6259.190746378837,6259.275597869963,6276.388164340602,6305.050527610213,6346.874393085727,6375.536756355338,6364.071811047494,6713.081879369294,6521.3794272466275,6550.0417905162385,6521.294575755501,6538.491993717266,6567.154356986877,6607.281665564332,6527.111899900549,6544.309317862316,6544.224466371189,6561.4218843329545,6590.0842476025655,6572.886829640799,6538.576845208394,6695.884461407528,6724.546824677139
5806.9973660932965,6080.909313386857,6090.626570605499,6252.209031346262,6265.015232277374,6261.926288564904,6274.732489496016,6290.927918193752,6358.060346419965,6374.255775117701,6367.777603638607,6710.3770395574165,6529.36006437937,6545.555493077106,6532.4490080918395,6542.166265310481,6558.3616940082175,6581.035294185049,6532.599150118917,6542.316407337559,6545.405351050029,6555.122608268671,6571.318036966407,6561.600779747765,6539.077321598012,6700.659782338775,6716.855211036511
5805.734740592073,6069.739266072809,6078.268016652088,6234.93540233152,6258.4633319565755,6243.4641529107985,6266.992082535853,6281.20666683465,6336.586708413305,6350.801292712102,6345.115458992583,6675.507731510005,6501.782844672017,6515.997428970813,6516.782023717794,6525.3107742970715,6539.525358595868,6559.425776614184,6504.625761531775,6513.154512111054,6528.153691156831,6536.682441736109,6550.897026034905,6542.368275455628,6510.311595251294,6666.978980930728,6681.193565229524
