decay_0,dec_up_0,dec_dn_0,decay_1,dec_up_1,dec_dn_1,decay_2,dec_up_2,dec_dn_2,decay_3,dec_up_3,dec_dn_3,decay_4,dec_up_4,dec_dn_4,decay_5,dec_up_5,dec_dn_5,dec_tot,dec_tot_up,dec_tot_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,1.3333333333333333,grd,0
122.7,15.9,12.5,125.8,10.4,9.5,1.1,0.9,0.6,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,249.8,19.0,15.7,0.5,0.5,1,1.3333333333333333,lam,1
124.9,16.0,12.7,125.9,10.4,9.5,1.3,0.9,0.6,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,252.5,19.1,15.8,1.5,0.5,1,1.3333333333333333,lam,1
19.2,5.3,4.0,28.0,6.3,5.2,494.3,34.6,34.7,9.0,1.8,1.3,2.4,0.9,0.7,0.0,0.0,0.0,553.0,35.6,35.4,0.5,0.5,1,1.3333333333333333,rho,1
11.4,3.6,2.8,16.7,4.5,3.8,4.8,2.1,1.6,0.1,0.1,0.0,74.5,14.2,15.0,1.4,0.3,0.3,108.8,15.5,15.8,0.5,1.5,1,1.3333333333333333,rho,1
20.1,5.5,4.1,29.4,6.2,5.2,952.3,97.4,88.3,17.4,4.5,3.1,2.6,1.0,0.8,0.0,0.0,0.0,1022.0,97.9,88.6,1.5,0.5,1,1.3333333333333333,rho,1
33.3,9.5,7.3,48.7,11.5,9.6,14.4,5.2,4.1,0.3,0.1,0.1,363.7,27.2,26.3,6.7,1.3,1.0,467.0,31.5,29.3,1.5,1.5,1,1.3333333333333333,rho,1
23.0,6.7,5.2,33.6,7.7,6.8,10.4,3.8,3.1,0.2,0.1,0.1,947.5,108.5,100.3,17.4,4.8,3.2,1031.9,109.2,100.8,2.5,1.5,1,1.3333333333333333,rho,1
