0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state,15_state,16_state,17_state,18_state,19_state,20_state,21_state,22_state,23_state,24_state,25_state,26_state,27_state,28_state,29_state
5810.027778582731,5841.5640256521565,6104.862736090166,6131.197647804806,6110.064071444952,6136.398983159592,6145.067875417568,6294.397328240945,6299.598663595731,6401.431472049198,6410.1003643071745,6422.565048409052,6427.766383763838,6436.435276021814,6448.57172518298,6406.632807403984,6438.169054473409,6785.70199170554,6817.238238774966,6590.966064199976,6599.634956457952,6592.699842651571,6597.9011780063565,6596.167399554762,6780.500656350755,6789.169548608731,6801.634232710609,6806.835568065395,6815.504460323371,6827.640909484537
5810.132126439201,5839.024979206503,6112.3986117419245,6132.918353931363,6120.77172231979,6141.291464509227,6155.246648805668,6307.953731539086,6316.326842116951,6417.456133903937,6431.411318200378,6429.60276551551,6437.975876093375,6451.931060389816,6471.468318404834,6425.829244481802,6454.722097249104,6816.939484076124,6845.832336843427,6613.011253701099,6626.96643799754,6615.802290560387,6624.175401138252,6621.384364278963,6808.56637349826,6822.521557794701,6820.713005109833,6829.086115687697,6843.041299984138,6862.578557999156
5797.058873128768,5830.692702869946,6101.162646414664,6130.995222719869,6104.963899850635,6134.796476155841,6141.131898549128,6296.038082226663,6299.839335662635,6406.533504179215,6412.868926572502,6432.564827048449,6436.366080484421,6442.701502877708,6451.5710942283085,6410.334757615187,6443.968587356365,6800.085629239188,6833.719458980366,6601.408939991215,6607.744362384502,6602.6760244698735,6606.477277905845,6605.210193427188,6796.284375803216,6802.619798196502,6822.31569867245,6826.116952108422,6832.452374501709,6841.321965852309
5809.65270768445,5835.869041499327,6113.29560296291,6133.2835465348535,6119.523993205844,6139.511936777787,6149.892587182676,6308.8023182666775,6315.030708509611,6419.014628322348,6429.3952787272365,6432.774181651357,6439.002571894291,6449.38322229918,6463.916132866025,6425.243018565281,6451.459352380158,6816.256449172816,6842.472782987693,6614.521343626115,6624.901994031004,6616.597473707093,6622.825863950026,6620.749733869048,6810.028058929883,6820.408709334772,6823.787612258892,6830.016002501826,6840.396652906715,6854.92956347356
5814.963046974995,5844.484833230515,6117.066648462296,6142.454469517411,6121.200613662701,6146.588434717815,6153.478376718489,6310.652592509442,6314.786557709846,6420.54823834973,6427.438180350404,6441.802094204441,6445.936059404845,6452.826001405519,6462.4719202064625,6424.682203550135,6454.203989805654,6811.854091644426,6841.375877899945,6614.134182396876,6621.02412439755,6615.512170797011,6619.6461359974155,6618.26814759728,6807.720126444022,6814.610068444696,6828.973982298733,6833.107947499137,6839.99788949981,6849.643808300754
5812.851164176801,5836.685412491912,6115.7508105097195,6131.195908717387,6124.139960617163,6139.58505882483,6153.566975670569,6312.135943435511,6320.525093542954,6421.446840211787,6435.428757057526,6428.502788312011,6436.891938419454,6450.873855265194,6470.4485388492285,6429.83599031923,6453.670238634341,6822.606256170812,6846.440504485923,6617.831973137578,6631.813889983317,6620.628356506725,6629.017506614168,6626.221123245021,6814.217106063369,6828.199022909108,6821.273054163593,6829.662204271036,6843.644121116776,6863.21880470081
5801.590771701041,5837.241922333387,6099.704122828609,6127.115343960173,6107.944052329391,6135.355273460955,6149.088489295591,6292.626690542207,6300.866620042989,6400.564117123104,6414.29733295774,6419.735408753887,6427.975338254669,6441.708554089304,6460.935056257794,6408.804046623885,6444.455197256231,6794.649182051083,6830.300332683429,6593.486684836702,6607.219900671338,6596.233328003629,6604.473257504411,6601.726614337484,6786.409252550301,6800.142468384937,6805.580544181084,6813.820473681866,6827.553689516501,6846.780191684991
5810.090494972914,5843.738646285799,6114.620461160859,6144.142046289657,6118.747027344945,6148.268612473743,6155.146222780555,6309.863188002415,6313.989754186501,6420.5259494101665,6427.403559716979,6445.920968354876,6450.047534538964,6456.925144845776,6466.5537992753125,6424.652515594253,6458.300666907138,6815.137969277364,6848.78612059025,6615.768676251722,6622.6462865585345,6617.144198313084,6621.270764497171,6619.8952424358085,6811.011403093278,6817.88901340009,6836.406422037988,6840.532988222076,6847.410598528888,6857.039252958424
5810.081085483445,5836.068861499794,6109.098619592895,6136.806808997672,6107.378206204467,6135.086395609244,6132.219039961863,6298.35242658924,6296.632013200811,6407.542682572868,6404.675326925487,6436.971285366074,6435.250871977645,6432.383516330265,6428.369218423932,6405.822269184439,6431.810045200788,6784.329883177129,6810.317659193478,6596.796489569213,6593.929133921832,6596.223018439737,6594.502605051308,6595.076076180784,6786.050296565558,6783.182940918176,6815.478899358764,6813.758485970335,6810.891130322954,6806.876832416621
5810.6215067334,5842.222148393893,6112.4404523102,6133.439750954641,6123.041795326252,6144.0410939706935,6161.709998997448,6308.776858082014,6319.378201098066,6417.793178892351,6435.462083919105,6428.191134520739,6438.792477536792,6456.461382563546,6481.1978496010015,6428.3945219084035,6459.995163568897,6821.067333452031,6852.667975112524,6614.129584664164,6631.798489690918,6617.663365669516,6628.264708685568,6624.730927680217,6810.465990435978,6828.134895462732,6820.863946064366,6831.465289080419,6849.134194107173,6873.870661144629
