0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state
6056.514309615217,6072.4394895303285,6308.953141239556,6312.393636259129,6321.437826135095,6324.878321154668,6345.686129313899,6565.5535344957425,6586.361342654974,6556.509344619776,6568.994029515315,6589.801837674547,6618.932769097471,6578.038219391281,6593.963399306393
6053.7217722799405,6068.790142357354,6317.731958638228,6325.266367542224,6325.265919811646,6332.800328715642,6345.356930671338,6584.253465387655,6596.810067343351,6584.253913118232,6591.78787429165,6604.344476247346,6621.923718985322,6591.787426561073,6606.855796638486
6061.7026303158555,6077.968402793024,6305.655761165362,6306.921533642535,6320.655761165357,6321.92153364253,6346.921533642523,6554.608892014866,6579.608892014859,6540.874664492044,6555.874664492039,6580.874664492032,6615.874664492021,6569.608892014861,6585.87466449203
6073.588452784395,6103.588452784331,6321.55815154305,6344.058151542987,6329.058151543051,6351.558151542987,6364.0581515429885,6572.027850301708,6584.52785030171,6587.0278503016425,6594.527850301643,6607.027850301645,6624.527850301647,6579.527850301709,6609.527850301645
6074.51849484821,6089.524830758636,6324.251464501681,6331.756621673003,6331.752643240785,6339.257800412107,6351.759764977281,6576.484827068187,6588.986791633361,6576.488805500404,6583.989984239509,6596.491948804683,6613.994699195925,6583.986005807291,6598.992341717717
6068.074836796048,6083.17681545547,6332.353101430838,6339.871459162886,6339.936722358212,6347.455080090261,6360.0944483025505,6599.159239708087,6611.7986079203765,6599.0939765127605,6606.677597440134,6619.316965652425,6637.012081149632,6606.742860635461,6621.844839294883
6065.771209670013,6090.160970332763,6314.111755761042,6327.889984978425,6324.7232872064105,6338.501516423792,6356.1874021660715,6565.989479000529,6583.675364742809,6569.156176772543,6579.767708217911,6597.45359396019,6622.213833999382,6576.6010104458965,6600.990771108646
6057.175661396431,6079.242934850275,6339.582263998794,6350.682221112021,6350.54958033941,6361.649537452638,6379.928398020331,6625.644638714695,6643.923499282389,6625.777279487306,6636.744595827922,6655.023456395616,6680.613861190388,6636.611955055311,6658.679228509155
6061.0653999758015,6078.23573996878,6320.548627782376,6330.218967775354,6328.048627782376,6337.718967775354,6350.218967775354,6582.531855588949,6595.031855588949,6584.702195581927,6592.202195581927,6604.702195581927,6622.202195581927,6590.031855588949,6607.202195581927
6060.46542752546,6090.462577733615,6324.57640080222,6347.034039604812,6332.1159122077825,6354.573551010375,6367.13940335298,6591.2005445475015,6603.766396890106,6606.11867194453,6613.658183350094,6626.224035692699,6643.816228972345,6598.740055953064,6628.73720616122
6058.510892666462,6073.511233334397,6321.041782633777,6321.042242324437,6336.041663611052,6336.042123301712,6361.041924930504,6588.572632926852,6613.572434555644,6573.573211640237,6588.573092617512,6613.572894246304,6648.572616526612,6603.572513904127,6618.572854572062
6052.438615512071,6082.423465424673,6312.506390831897,6334.979514558468,6320.0181170179285,6342.491240744499,6355.010784387885,6575.0780748804,6587.597618523786,6590.039472420939,6597.5511986069705,6610.0707422503565,6627.598103351096,6582.589801066431,6612.574650979033
6061.958189038939,6076.971645197557,6330.807865270086,6338.319385386028,6338.309801312762,6345.821321428704,6358.324548166497,6602.158186848791,6614.661413586584,6602.1677709220585,6609.669706964734,6622.172933702526,6639.677451135436,6609.660122891467,6624.673579050085
