0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state,15_state,16_state,17_state,18_state,19_state,20_state,21_state,22_state,23_state,24_state,25_state,26_state
5794.20088864699,6065.800660822288,6071.434243204976,6234.762745085496,6256.7714039780785,6240.396327468185,6262.404986360766,6271.794290331913,6339.2782937918155,6348.667597762962,6344.911876174503,6682.836044700919,6508.240378055023,6517.62968202617,6524.615454564917,6530.2490369476045,6539.638340918751,6552.783366478357,6510.118238849252,6515.75182123194,6532.126897741834,6537.760480124522,6547.149784095668,6541.516201712981,6513.873960437711,6677.2024623182315,6686.591766289378
5803.748673601454,6075.658409702058,6086.415029199072,6246.270218408015,6263.710453371448,6257.026837905029,6274.467072868462,6292.394772030152,6351.1536856349985,6369.081384796688,6361.910305132013,6703.133922543928,6521.765494340956,6539.693193502646,6528.449109807376,6539.20572930439,6557.133428466079,6582.232207292444,6525.3510341732945,6536.1076536703085,6542.791269136727,6553.547888633741,6571.475587795431,6560.718968298417,6532.52211383797,6692.377303046914,6710.305002208604
5818.738532146675,6089.0787614340015,6098.854624989756,6258.403730826634,6278.605447493542,6268.179594382389,6288.3813110492965,6304.674416975555,6362.67761190658,6378.970717832838,6372.453475462335,6711.103414247601,6532.002581299213,6548.295687225471,6542.428434410364,6552.204297966119,6568.497403892378,6591.30775218914,6535.261202484464,6545.037066040219,6555.462919151371,6565.238782707126,6581.531888633384,6571.75602507763,6541.778444854967,6701.327550691846,6717.6206566181045
5806.886721348891,6084.49119845281,6080.297225853806,6252.587967975377,6279.128178142825,6248.393995376373,6274.934205543821,6267.944251212148,6360.697684690394,6353.707730358721,6356.50371209139,6692.697251136525,6528.794454212962,6521.804499881288,6559.528636979413,6555.33466438041,6548.3447100487365,6538.558773984393,6527.396463346627,6523.2024907476225,6553.936673514075,6549.742700915071,6542.752746583397,6546.9467191824015,6524.6004816139575,6696.891223735529,6689.901269403856
5802.638547919097,6077.887038973466,6091.87707552906,6251.7506284339315,6261.549408137246,6265.740664989526,6275.53944469284,6298.856172285497,6357.798875546367,6381.115603139024,6371.788912101961,6719.516091022893,6531.6624650068325,6554.97919259949,6527.471208154552,6541.461244710146,6564.777972302804,6597.421390932524,6536.3258105253635,6550.315847080958,6546.124590228678,6560.114626784272,6583.431354376929,6569.441317821335,6545.652501562427,6705.526054467299,6728.842782059956
5810.4773684450365,6078.350153677601,6088.181595236608,6246.264501648192,6279.22534028571,6256.095943207199,6289.056781844717,6305.442517776395,6349.500086096502,6365.88582202818,6359.331527655509,6695.160223596691,6517.414434067093,6533.800169998771,6540.543831145604,6550.37527270461,6566.761008636289,6589.701038940639,6520.691581253428,6530.523022812435,6553.6524198909465,6563.483861449953,6579.869597381631,6570.0381558226245,6527.245875626099,6685.3287820376845,6701.7145179693625
5814.58634363364,6086.728671823332,6096.944817088998,6257.378179256059,6275.2920936003875,6267.594324521726,6285.508238866055,6302.5351476421665,6362.276381768244,6379.303290544356,6372.492527033912,6713.791541899367,6532.925889200972,6549.952797977084,6540.623658279634,6550.839803545301,6567.866712321413,6591.704384607969,6536.331270956195,6546.547416221862,6554.245185300523,6564.461330566191,6581.488239342302,6571.272094076635,6543.142034466639,6703.5753966337,6720.602305409811
5796.8766410854305,6074.960068585189,6079.098404154871,6246.740185092345,6268.301863941026,6250.878520662027,6272.440199510708,6279.337425460178,6354.422941274843,6361.320167224312,6358.561276844524,6702.121509858835,6526.203057781998,6533.100283731467,6543.626401060997,6547.764736630678,6554.661962580149,6564.318078909407,6527.582502971892,6531.720838541573,6549.144181820572,6553.282517390255,6560.179743339724,6556.0414077700425,6530.3413933516795,6697.983174289154,6704.880400238623
5818.652213981989,6081.018207772481,6081.443322742263,6241.580661891182,6268.059302319167,6242.005776860964,6268.484417288949,6269.192942238586,6343.525906552902,6344.234431502538,6343.951021522684,6665.075929760084,6504.088360671602,6504.796885621238,6530.141886129803,6530.5670010995855,6531.275526049223,6532.2674609787155,6504.230065661529,6504.655180631311,6530.708706089514,6531.133821059296,6531.8423460089325,6531.4172310391505,6504.513475641384,6664.650814790302,6665.359339739939
5815.523329076539,6087.430824228827,6091.960111244526,6255.505393229861,6286.405612255405,6260.03468024556,6290.934899271104,6298.483710963936,6360.848081719681,6368.396893412513,6365.3773687353805,6701.5265067374485,6528.922650720716,6536.471462413548,6555.293582730562,6559.82286974626,6567.371681439092,6577.940017809056,6530.432413059282,6534.961700074981,6561.332632084826,6565.8619191005255,6573.410730793357,6568.881443777658,6533.451937736415,6696.997219721749,6704.546031414581
