0_state,1_state,2_state,3_state,4_state,5_state
5643.06791885614,5914.713418575337,5922.214793330588,6188.859376546284,6201.361667805035,6196.360751301534
5604.216886807257,5904.210580485334,5911.710675784971,6206.704305929956,6219.204464762684,6214.204401229593
5614.86924154709,5926.545912035055,5934.045940977303,6240.722592170438,6253.222640407517,6248.222621112685
5593.370001195076,5902.743887609652,5910.244068870605,6214.617834444546,6227.118136546133,6222.118015705499
5614.775794125956,5915.05826908982,5922.558271617321,6217.840744896183,6230.3407491086855,6225.340747423685
5600.221222816888,5920.737461842488,5928.249175348361,6243.757605370047,6256.277127879834,6251.2693188759185
5594.650911160195,5913.131337176877,5920.878575642267,6234.194176015355,6247.106240124337,6241.941414480744
5583.810750509195,5877.359811309787,5884.861581196335,6173.409462072561,6185.912411883473,6180.911231959109
5628.122405003622,5933.135825383588,5940.635829614375,6240.649247173816,6253.149254225129,6248.149251404604
5604.211554461483,5922.203363576072,5929.703408279302,6242.6951875917375,6255.195262097121,6250.195232294967
5611.528826748754,5913.781219235862,5921.286324856201,6218.535313596418,6231.043822963648,6226.040419216756
5615.510742083488,5933.276284602757,5940.776501406215,6253.541899389845,6266.042260728941,6261.042116193303
5595.171572945834,5913.217684847541,5920.718005084812,6233.763903495005,6246.26443722379,6241.264223732276
5601.292467997224,5924.7390791989565,5934.496675587823,6251.438222530312,6267.700883178422,6261.195818919178
5603.526903853739,5928.993736633324,5943.993511607062,6259.460494404154,6284.460119360383,6274.460269377892
5608.427037813716,5920.545619339451,5928.045678930128,6235.164220728745,6247.66432004654,6242.664280319422
5629.627012668677,5917.767997501138,5925.268069679337,6208.409006392998,6220.909126689996,6215.909078571197
5594.364672316664,5914.386005745856,5921.8860058107875,6236.907339196692,6249.407339304911,6244.407339261624
5614.109292639244,5923.265505425068,5932.846271779304,6235.615306995637,6251.583250919363,6245.196073349873
5596.753089644086,5909.3757717872195,5916.8757766569215,6224.498455553587,6236.998463669756,6231.998460423289
5595.796602885949,5909.008169270488,5924.007117860911,6227.219385185169,6252.217632835875,6242.218333775592
5613.098515587697,5921.534293377095,5936.534289116764,6234.970069746383,6259.970062645831,6249.970065486052
5629.967142819658,5922.966369300761,5930.466412875693,6218.46561030684,6230.965682931727,6225.965653881773
5602.287494536985,5919.125410256441,5926.651792609292,6238.472120093514,6251.016090681599,6245.998502446365
5625.231984316592,5938.67648588486,5946.177154696402,6254.621210390308,6267.122325076211,6262.12187920185
5594.178530710639,5909.901363522974,5917.402752395368,6228.124659292773,6240.626974080096,6235.626048165167
5631.250124204893,5917.584396194124,5925.084401947021,6206.418670100988,6218.918679689151,6213.918675853885
5602.090712916396,5926.5564974342415,5934.0564974342415,6253.522281952088,6266.022281952088,6261.022281952088
5635.697862938023,5925.933130857404,5933.433147945461,6218.6684044728045,6231.168432952901,6226.168421560862
5632.683080622318,5930.79338613644,5938.293386136443,6231.403691650564,6243.903691650568,6238.9036916505665
5601.559053786073,5924.2717082580175,5931.771710215865,6249.4843633825785,6261.984366645657,6256.984365340426
5625.86456873307,5925.695811667321,5933.1987103561705,6228.02802083119,6240.532851979272,6235.530919520039
5625.03090466229,5914.742741999672,5929.742741999672,6209.454579337054,6234.454579337054,6224.454579337054
5582.084694783552,5914.282014586418,5921.782014586418,6248.979334389284,6261.479334389284,6256.479334389284
5579.8416994790405,5904.7349756936555,5912.236011916403,6232.128597315853,6244.630324353766,6239.6296335386005
5623.5888653102575,5921.756793494233,5935.230210640999,6224.415860727129,6246.871555971739,6237.8892778738955
5597.791490671834,5901.346971379718,5916.346952247767,6209.902445710284,6234.9024138237,6224.902426578334
5606.2538961014725,5900.546649231473,5908.046649255077,6197.339402369342,6209.839402408682,6204.839402392946
5644.99495945152,5922.361898611445,5929.862339254628,6202.228984652432,6214.7297190577365,6209.729425295614
5593.923764280865,5898.553591370634,5911.926772109164,6207.641145373247,6229.929779937463,6221.014326111776
5590.005414768079,5919.980966622843,5927.480966636998,6252.456518482324,6264.956518505916,6259.9565184964795
5591.1302038458125,5919.947123491924,5927.447259862793,6251.26408859499,6263.764315879772,6258.764224965859
5588.771349085531,5909.353801301785,5916.853812038854,6232.436257097062,6244.936274992177,6239.93626783413
5621.373396818105,5918.565414130598,5926.0660590922835,6218.257646430317,6230.75872136646,6225.758291392003
5612.360194108857,5916.371085193091,5923.871085193107,6222.881976277331,6235.381976277358,6230.381976277347
5622.650748912422,5932.188221807932,5939.68896827156,6244.2259435246515,6256.727187630698,6251.726689988279
5610.9081537251805,5909.344934637661,5917.99640466387,6210.665538892213,6225.084655602561,6219.317008918421
5612.679364482341,5923.11729009033,5931.793117977788,6236.4471583274735,6250.906871473237,6245.122986214931
5631.24316707547,5937.064177369934,5944.56471678723,6245.385367470163,6257.886266498989,6252.885906887459
5610.882925593432,5923.2427335316415,5930.74275125466,6238.1025473775235,6250.602576915888,6245.602565100542
5604.377612404525,5904.633169174433,5912.13317377181,6207.3887274767985,6219.888735139094,6214.888732074176
5595.838349696265,5923.788187628322,5938.788079237233,6256.737989430017,6281.737808778202,6271.737881038927
5605.540101875542,5916.3391623685175,5931.339045211091,6232.138183809017,6257.1379885466395,6247.138066651591
5620.540041585593,5911.770406012833,5920.221645596788,6205.817850301391,6219.903249607984,6214.269089885347
5606.763816707263,5921.6354463331145,5929.136289897162,6239.007357146983,6251.508763087061,6246.5082007110295
5592.026295555121,5894.021278318666,5901.521434528866,6198.516313152278,6211.01657350261,6206.016469362477
5614.5683329232415,5928.359948843399,5935.861451323875,6244.652065590382,6257.154569724509,6252.1535680708585
5590.664842339403,5896.970061647534,5911.97006164611,6208.275280955191,6233.275280952817,6223.275280953767
5645.0965922511305,5938.011902180572,5945.512120530203,6233.427284893225,6245.927648809276,6240.927503242856
5590.883031189936,5903.145811327165,5918.145605147986,6220.408522738,6245.408179106036,6235.408316558822
5614.897262255551,5928.094194946258,5935.594195011946,6243.791127658861,6256.291127768341,6251.2911277245485
5619.802010938242,5918.081777700874,5933.071975982643,6221.358277224096,6246.341941027044,6236.348475505865
5598.811638382248,5911.365052142601,5926.09840547222,6228.829583679493,6253.385172562193,6243.562937009113
5616.369125420922,5911.46206129588,5918.9628892857545,6209.0552731674625,6221.556653150587,6216.556101157337
5622.447500026672,5907.4982214953825,5920.036724665151,6196.728444020683,6217.625949303631,6209.266947190452
5594.524620881947,5918.178622484747,5925.678624488284,6244.332624755393,6256.832628094621,6251.83262675893
5601.72805327509,5928.417430451983,5935.917435645098,6257.606809359914,6270.106818015105,6265.106814553029
5599.886682918811,5910.799453341044,5918.299454303533,6224.212224084105,6236.712225688254,6231.7122250465945
5618.1364333814745,5911.796023855494,5919.2961671428275,6207.955662091958,6220.45590090418,6215.455805379292
5629.3801633946905,5927.9360324281315,5942.936032097224,6231.491901351269,6256.491900799756,6246.491901020361
5632.484223546926,5921.418691191119,5928.91869119259,6212.853158835804,6225.353158838255,6220.353158837274
5591.4723285399805,5895.421317645033,5907.941215797194,6203.54360613414,6224.410103054408,6216.0635042863005
5586.315682217654,5895.751586419122,5909.52590903206,6209.778931491568,6232.736135846464,6223.553254104506
5597.563214562126,5916.986004478743,5924.486027246211,6238.908801984518,6251.408839930298,6246.408824751986
5596.705085096943,5902.62917897609,5911.1793424690495,6211.403327352889,6225.6535998411555,6219.953490845849
5618.738470813023,5914.0364853801775,5923.3780711650315,6212.448361875618,6228.01767151704,6221.789947660471
5628.273406295917,5926.061669678951,5941.061441967943,6228.849857158317,6253.849477639969,6243.849629447308
5599.065551868733,5925.350801984874,5936.565412276531,6255.3742555315675,6274.065272684329,6266.588865823224
5607.1133506418055,5900.8042293748495,5908.304379571503,6196.995158173443,6209.495408501199,6204.495308370097
5632.929464417579,5931.857754765434,5939.357754765444,6233.286045113293,6245.786045113309,6240.786045113303
5590.400441713712,5907.753883932566,5915.253889767734,6227.607328096476,6240.107337821755,6235.107333931644
5633.790550394504,5922.839568974006,5930.339576790257,6214.388590158925,6226.888603186008,6221.888597975175
5593.786784082399,5914.251691758144,5921.756504945347,6237.218203829624,6249.726225808296,6244.723017016827
5614.195797572453,5907.5097980080545,5915.009798008094,6203.323798443669,6215.823798443735,6210.823798443708
5605.952607785753,5905.70186435755,5913.201864357768,6207.951120929419,6220.451120929781,6215.451120929636
5627.847421154506,5916.112213377926,5923.612223234326,6206.877008886812,6219.377025314145,6214.377018743212
5626.529579149885,5934.681513183541,5942.182349801016,6245.333726089691,6257.83512045215,6252.834562707166
5628.595561112439,5928.204296563607,5935.704445539806,6230.313081673508,6242.813329967174,6237.813230649707
5612.466025734745,5918.98371954205,5932.162377589942,6229.89429936532,6251.858729445139,6243.072957413211
5601.548795188281,5909.6576567407665,5917.157656740769,6220.266518293253,6232.766518293258,6227.766518293256
5601.086776539207,5895.93635808864,5903.43714489478,6193.286201906786,6205.787513250354,6200.786988712927
5584.695832642513,5897.2748011733465,5904.7748090597925,6212.353772332995,6224.853785477072,6219.853780219441
5589.951499881576,5896.889394510779,5911.889394510779,6208.827289139983,6233.827289139983,6223.827289139983
5601.311695860657,5925.633657078493,5933.133730398791,6252.4556427364305,6264.955764936927,6259.955716056728
5616.714264164404,5901.664326690847,5909.164327352389,6189.114389437803,6201.614390540372,6196.614390099345
5607.677561170226,5912.619235506418,5921.69270017387,6220.585398065094,6235.707839177515,6229.658862732546
5610.461092225392,5912.249064974245,5923.882712365173,6217.914920186739,6237.304332504952,6229.548567577667
5594.541757829508,5902.543130840115,5910.04412840406,6213.044836372037,6225.546498978612,6220.545833935982
5608.597805460145,5923.04744054319,5930.547475981527,6239.997087439014,6252.497146502909,6247.497122877351
5604.627104653136,5900.620001677906,5908.120123625344,6199.112939351822,6211.613142597552,6206.61306129926
5602.961536644969,5904.181679780154,5911.681680699885,6207.901823221915,6220.401824754801,6215.401824141647
5622.120657399039,5912.74633514804,5927.744301652969,6208.371335065351,6233.367945906898,6223.369301570279
5609.52765223371,5923.05124440711,5930.55130402371,6239.074856452711,6251.574955813711,6246.574916069311
5613.03088941228,5922.766572348369,5930.266572348375,6235.00225528446,6247.502255284471,6242.502255284467
5626.861276365177,5921.552195461547,5929.0522839976775,6218.743144069959,6231.243291630178,6226.243232606091
5612.750115024424,5904.8397144785495,5912.339805780547,6199.429344366674,6211.92949653667,6206.929435668671
5632.382238056497,5913.4334666654395,5928.433408922185,6199.484676026632,6224.484579787874,6214.484618283377
5624.189093815378,5926.428566213601,5933.9285662138545,6231.168038611908,6243.668038612331,6238.668038612162
5640.144848301948,5917.025913627753,5931.971563951942,6198.888862394954,6223.798279601937,6213.834512719144
5602.440546006473,5914.309537423008,5925.107627376096,6229.77789215724,6247.774708745721,6240.575982110328
5620.408593673072,5913.284064033861,5920.784072700609,6208.659537283565,6221.159551728145,6216.159545950313
5638.365918579109,5938.7203095090445,5946.22039440696,6241.5747287382865,6254.074870234811,6249.074813636201
5609.593334269967,5909.6399607620915,5924.631740457708,6214.683847152755,6239.670146645449,6229.675626848371
5593.290062296851,5906.280475095434,5913.780491621606,6221.7708934027405,6234.270920946362,6229.270909928913
5609.227011208958,5913.9175385388735,5925.284212429096,6222.396957165529,6241.341413649234,6233.763631055752
5583.556831436691,5918.042709216527,5925.54290701667,6255.028652929745,6267.528982596649,6262.528850729887
5609.821441274728,5920.880437073237,5929.768810333158,6234.9022239583865,6249.716179391589,6243.790597218308
5638.480107277496,5922.192986836456,5933.1676855096,6209.564099286463,6227.855263741703,6220.538797959607
5606.471123278883,5920.770338186966,5928.270725123818,6237.569682074,6250.070326968754,6245.070069010852
5625.670307300228,5908.9421191616675,5916.442199439479,6194.7139577823755,6207.214091578729,6202.214038060188
5617.619326822559,5921.458701456045,5928.961561943117,6227.799029585221,6240.303797063675,6235.301890072294
5627.5834203072845,5939.936490327344,5947.436860962613,6254.789683892492,6267.29030161794,6262.290054527761
5629.41478061928,5907.578921352009,5915.078921354501,6188.24306208557,6200.743062089724,6195.743062088062
5641.580584469599,5929.946499435328,5937.475428777972,6220.822057515273,6233.370273086347,6228.350986857918
5588.75409534425,5896.503201471445,5907.69976444488,6207.984495256453,6226.64543354551,6219.181058229887
5590.292195638185,5896.647793202334,5905.73397646061,6206.032118519241,6221.175757283036,6215.118301777517
5605.008925867473,5893.644065617822,5901.1440687384165,6184.779206408368,6197.279211609359,6192.279209528962
5610.136330692906,5903.422020443527,5910.92206329321,6199.207724477375,6211.707795893514,6206.707767327059
