decay_0,dec_up_0,dec_dn_0,decay_1,dec_up_1,dec_dn_1,decay_2,dec_up_2,dec_dn_2,decay_3,dec_up_3,dec_dn_3,decay_4,dec_up_4,dec_dn_4,decay_5,dec_up_5,dec_dn_5,decay_6,dec_up_6,dec_dn_6,decay_7,dec_up_7,dec_dn_7,decay_8,dec_up_8,dec_dn_8,decay_9,dec_up_9,dec_dn_9,decay_10,dec_up_10,dec_dn_10,decay_11,dec_up_11,dec_dn_11,decay_12,dec_up_12,dec_dn_12,decay_13,dec_up_13,dec_dn_13,decay_14,dec_up_14,dec_dn_14,decay_15,dec_up_15,dec_dn_15,decay_16,dec_up_16,dec_dn_16,decay_17,dec_up_17,dec_dn_17,decay_18,dec_up_18,dec_dn_18,decay_19,dec_up_19,dec_dn_19,decay_20,dec_up_20,dec_dn_20,decay_21,dec_up_21,dec_dn_21,decay_22,dec_up_22,dec_dn_22,decay_23,dec_up_23,dec_dn_23,decay_24,dec_up_24,dec_dn_24,decay_25,dec_up_25,dec_dn_25,decay_26,dec_up_26,dec_dn_26,decay_27,dec_up_27,dec_dn_27,dec_tot,dec_tot_up,dec_tot_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
2.3,2.2,1.6,2.6,2.6,1.8,2.1,2.1,1.4,0.1,0.1,0.1,3.8,3.9,2.6,0.4,0.4,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,4.2,2.7,0.0,0.0,0.0,16.5,25.7,14.1,0.0,0.0,0.0,31.7,26.7,14.9,2.5,0.5,2,3.3333333333333335,lam,2
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,1.1,0.7,0.3,0.3,0.2,3.7,4.0,2.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.8,4.6,0.0,0.0,0.0,14.2,24.3,13.0,0.0,0.0,0.0,25.8,25.5,14.0,0.5,1.5,2,3.3333333333333335,lam,2
0.9,0.9,0.6,1.0,1.0,0.7,0.2,0.2,0.2,1.5,1.5,1.0,0.5,0.5,0.3,5.3,5.3,3.7,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,9.4,6.3,0.0,0.0,0.0,18.6,25.1,14.8,0.0,0.0,0.0,36.9,27.4,16.6,1.5,1.5,2,3.3333333333333335,lam,2
2.0,1.9,1.4,2.3,2.2,1.6,0.5,0.4,0.3,1.3,1.3,0.9,0.8,0.8,0.6,4.6,4.6,3.2,0.1,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,15.4,10.4,0.0,0.0,0.0,21.7,25.4,15.7,0.0,0.0,0.0,47.9,30.2,19.3,2.5,1.5,2,3.3333333333333335,lam,2
2.7,2.7,1.9,3.1,3.1,2.2,0.7,0.7,0.5,0.6,0.6,0.4,1.3,1.3,0.9,2.5,2.8,1.8,0.2,0.2,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,27.5,18.6,0.0,0.0,0.0,11.9,16.5,9.4,0.0,0.0,0.0,48.7,32.5,21.2,3.5,1.5,2,3.3333333333333335,lam,2
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.7,1.1,0.6,0.0,0.0,0.0,1.6,1.2,0.7,0.5,0.5,0,3.3333333333333335,rpl,2
0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.6,0.0,0.0,0.0,1.1,1.2,0.8,0.0,0.0,0.0,2.7,1.6,1.0,1.5,1.5,0,3.3333333333333335,rpl,2
0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.4,0.4,0.3,1.0,1.0,0.7,4.5,4.8,3.2,0.0,0.0,0.0,11.1,11.4,7.9,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,1.4,1.5,1.0,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,12.6,8.7,0.5,0.5,0,3.3333333333333335,rpr,2
0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.3,0.3,0.2,0.0,0.0,0.0,0.3,0.3,0.2,0.9,0.9,0.6,0.3,0.3,0.2,0.2,1.4,0.2,0.7,0.8,0.5,16.9,18.1,12.1,0.0,0.0,0.0,0.1,0.1,0.1,0.4,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.1,0.1,0.1,0.0,0.3,0.0,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,18.2,12.2,1.5,1.5,0,3.3333333333333335,rpr,2
0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,1.5,37.1,37.2,26.3,5.6,5.5,4.0,117.8,117.8,83.5,0.0,0.0,0.0,45.1,47.8,32.3,26.8,33.8,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,10.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,137.2,95.8,1.5,0.5,2,3.3333333333333335,mix,2
