0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state
5916.794301835168,5946.571675452413,6173.936238065977,6196.2136112289845,6181.436238520215,6203.713611683222,6216.213612440284,6433.5781744482,6446.078175205263,6448.35554715697,6455.855547611207,6468.355548368269,6485.855549428157,6441.078174902437,6470.855548519682
5916.631788181077,5946.631735285258,6184.841494453926,6207.341438620951,6192.341497391083,6214.841441558107,6227.341446453369,6455.551201705828,6468.05120660109,6470.551142935695,6478.051145872852,6490.551150768114,6508.051157621479,6463.051204642985,6493.051151747166
5951.7071385849895,5966.707145208097,6216.1112292697435,6217.059917420178,6230.162547742417,6231.111235892851,6254.530100013973,6485.199092778722,6508.617956899844,6472.096462456483,6486.147780929156,6509.566645050279,6542.35305481985,6499.250411251395,6514.250417874503
5950.621840640873,5976.816578004423,6235.253407287889,6249.677305295843,6247.024246643483,6261.448144651438,6281.066210244095,6523.808587053435,6543.4266526460915,6526.461645705796,6538.23248506139,6557.850550654047,6585.315842483767,6535.579426409029,6561.7741637725785
5905.622916175975,5930.76761742559,6173.475732540487,6191.120433789663,6180.975732540926,6198.620433790103,6211.120433790835,6443.828548905146,6456.328548905878,6453.973250153882,6461.473250154321,6473.973250155054,6491.47325015608,6451.328548905585,6476.473250155201
5934.53801650525,5949.665919358907,6203.933978282323,6211.250753053533,6211.745106364769,6219.061881135979,6232.080427940055,6475.933649420209,6488.952196224285,6475.439296108974,6483.25042419142,6496.268970995496,6514.494936521202,6483.744777502655,6498.872680356311
5918.894123366488,5946.606269456455,6181.112682599176,6201.324465408933,6188.613045879385,6208.824828689143,6221.325434156158,6445.831362925265,6458.33196839228,6458.542782454814,6466.043145735023,6478.543751202038,6496.0445988558595,6453.331726205474,6481.043872295441
5926.89855952158,5956.898559515509,6200.050020972359,6222.549913678606,6207.550128260041,6230.050020966288,6242.550199779092,6475.7015181857,6488.201696998503,6490.701303604264,6498.201410891946,6510.70158970475,6528.201840042676,6483.201625473382,6513.201625467311
5945.357398116189,5975.357393285187,6230.773456287293,6253.273395449108,6238.273512294476,6260.773451456291,6273.273544801596,6518.689533127456,6531.189626472761,6533.689416282088,6541.189472289271,6553.689565634576,6571.189696318003,6526.189589134639,6556.189584303637
5937.826704285796,5952.826704285797,6219.845818436771,6227.345818436771,6227.345818436771,6234.845818436772,6247.345818436772,6504.364932587745,6516.864932587745,6504.364932587745,6511.864932587745,6524.364932587746,6541.864932587747,6511.864932587745,6526.864932587746
5907.937523344609,5937.926557413248,6193.303001788197,6208.320600813889,6208.274436831145,6223.292035856836,6248.244427595082,6483.6589585794345,6508.61135031768,6483.705122562178,6498.676557605126,6523.6289493433715,6558.562297776916,6498.630393622382,6528.619427691021
5935.045821633693,5950.045821633961,6200.279749986331,6207.779749986598,6207.779749986331,6215.279749986599,6227.7797499866,6468.013678338967,6480.513678338968,6468.0136783392345,6475.513678339235,6488.013678339236,6505.513678339237,6475.513678338968,6490.513678339236
5941.2983596863705,5956.310553489622,6218.3065095862285,6225.81865278395,6225.806560191759,6233.31870338948,6245.818787732031,6497.8146763545965,6510.314760697147,6497.8267689467875,6505.326819552318,6517.826903894868,6535.327021974439,6505.314726960127,6520.326920763378
