Md1,Md2,Md3,Md4,Md5,MB,K,A,B,E,G
1245.056472891706,1099.4023390537611,968.0478858976587,800.0000000010259,974.864234179603,4782.406101034651,4670.75807286996,5.000000000000761,5.000000000001711,19.99999694058746,10.000000000188457
1390.7248867446442,1265.324596792255,1099.9999939817478,984.568459259318,1126.4533118436646,4622.091071077059,5059.665596457851,9.99999999819868,5.000000604421603,19.996352176234577,10.000128077141005
1211.7305294474568,1057.0654433763107,905.8422050508545,801.2990028336764,949.1002040858473,4816.265505001578,4785.938318117353,5.239327484202847,5.016998748506033,19.4720795014905,10.000005362850796
1194.3496171747668,1059.0709423622932,904.3487488438968,800.0623431512689,952.089499452727,4803.684807597409,4399.612596502456,5.419208821381485,5.0000695993104145,19.854971831729024,19.81341597339798
1377.4443110662976,1225.8205855845106,1099.9591040497764,972.843456579003,1139.168578070761,4618.89198749833,4790.351004805221,5.000204570543505,5.000077188358026,19.99969276542664,19.74943973252751
1366.1561516604147,1239.3093711783947,1099.9579397767525,954.7027556560231,1128.1522328506198,4640.293195885132,5259.68016892431,6.885144082181113,5.0002149485133,17.78687108576254,10.00065924394815
1356.8269207532585,1227.9755886877388,1089.2323766425716,991.4548716295659,1145.7108945751356,4615.752767363505,5017.207541093733,5.000532502547059,5.000127906103058,19.99999992468482,19.017126805666948
1281.163546833347,1143.2316357377579,975.9379787558674,824.8601128960117,1032.6801813448153,4725.884160431732,4902.425344492387,5.000000000000001,5.000000000148351,19.99999999734428,15.032160491165266
1200.7923481680898,1061.992232400644,892.7558016930182,800.0000000000704,966.4402765676753,4779.757559975538,4801.048326494537,9.99999999997877,5.00000000001208,19.999999999994326,19.999999999777717
1201.8235029002706,1071.3718689141615,923.3845648743261,800.515725940408,969.7481461297274,4778.220513471048,4723.808236126273,9.961588806190711,5.000000130094371,19.99981757963287,19.985378822606435
1388.7904922231278,1234.9549221000298,1085.6002568690988,937.8220924287815,1139.5687808259784,4604.849986711197,5200.397151756763,9.166761828174437,8.71315670996732,19.999992298922894,17.041257576205183
1405.2260305186833,1278.8124587678535,1099.760498197292,979.5392490176405,1161.9196699150827,4607.44008089368,4922.345152091033,6.356864493999878,5.000003418680091,19.999582084512486,11.440510707986133
1330.4076754261705,1216.6262327258792,1079.1852943522497,932.0893157369042,1107.2209846632927,4672.484828326496,4942.223796519068,9.999998355090419,5.000001594125768,10.004853097767262,11.619460909491044
1333.5388009453588,1182.1877197798585,1073.0061934455239,908.8938117135033,1098.2092193991205,4661.479814081759,5147.916663901644,9.99998663491459,9.999993724800717,17.46245320485045,11.322013050166664
1363.6169666200865,1262.6606953114895,1099.86169969398,952.8689281709167,1129.9339702304576,4634.825488745626,5124.25057062242,7.708329181488383,5.000175404653069,19.995091833021903,10.033407301327248
1368.925835952475,1235.154632114627,1099.2424859605894,938.8125065313866,1106.6076962187112,4650.37183981523,5021.302654766622,5.673330244780767,5.000005682016162,19.884533534609545,10.002752839017075
1378.2680863203275,1265.3244005683484,1099.3873026400172,984.9923464763519,1143.7845565193425,4610.0348439667,4965.408380092841,9.99997318143755,5.000000253181695,19.999834112335968,16.879208191594937
1287.6084681692619,1126.901768028293,1008.1483139957597,867.0631022859668,1091.234945037027,4719.234757496578,5055.008629270039,7.404578886908456,5.000000940802181,19.75220729802543,10.000087298325083
1385.4644157387427,1218.2347890304507,1092.0055307207504,963.4438629942725,1148.6726957275741,4628.159230906492,5007.5155584586,7.292219946064263,5.00174251419448,19.999678753936777,14.912725117137112
1372.966711779404,1246.9509423681645,1099.7692268974797,970.8057239758087,1116.3191798210328,4628.232718751031,5232.29741978534,9.999981272176333,5.000007501775749,19.70990931722175,10.000341148777505
1407.9698832129816,1263.8205128836516,1099.8927421894955,987.9738614377703,1153.0921340912275,4615.452615679774,4960.462071671583,6.321484671336665,5.000001781405772,19.99999811772729,10.000119216279685
1395.654073763657,1241.4782446760946,1099.9881981361743,979.9994986669224,1125.159026396255,4626.075580401316,5324.844386400184,7.476508580758533,9.99197821957658,19.99970846085971,10.119650117460058
1236.9277217524505,1077.7057295483478,957.8514856789149,800.2384150991309,995.7045209009642,4794.047992030365,4370.955652240313,9.123139236502837,5.001086629935009,17.32780298765487,12.298374902224403
1404.4985003548786,1254.303916150378,1085.9886177625622,978.8219032470456,1144.6181737320967,4616.385079186254,5289.922466914279,7.160979357477078,5.00000048589349,19.99996180976097,10.000001585347938
1400.8502142415205,1254.3568957742746,1097.4746441149382,971.539526947054,1108.1055303199237,4622.524599452886,4912.149680213217,5.225080470490839,5.00000338320913,19.999949058708548,15.431045072684515
1370.5636778841117,1225.973973315727,1089.8821418531688,976.0542220525249,1152.5375085557032,4610.722150947597,4954.048786584376,9.986279267465315,5.000016463630513,19.866001993525995,18.864193883722844
1387.3414591418418,1250.8870175638172,1099.523444721988,986.0222509171836,1139.088601851896,4631.784555599998,4972.616556443848,9.999971539211245,5.000433589519268,18.602127863660435,10.000000002259789
1230.6860741118412,1091.9835265622005,959.3577624688842,800.0000198905799,949.8324384157644,4793.505555018395,4875.673722984203,6.0903816689640164,5.067566639833596,19.999950581152415,10.000000217941684
1214.7213863319087,1093.6220017947214,943.8202547566573,800.0000689794942,981.6539986668513,4793.900337869241,4809.171672465214,9.798571839084175,5.000000055027172,19.998434533081095,10.00000025415945
1399.3618031629635,1257.0950791991265,1099.999954979439,973.4913108619681,1135.1831665617065,4627.874532802376,4837.501761075944,9.999987879463552,7.3000736502830135,19.999976142384195,10.001699076545442
1228.7044102803256,1078.4022202665624,979.852117298131,800.0798241782882,989.3006587839138,4794.607138884078,4608.648141976208,9.999999989949853,5.000000027478901,10.015917377836727,10.000715773078767
1352.551252116531,1210.3087103060668,1066.0344799751308,919.1041713326032,1104.582469914648,4653.097707865036,4959.833130290544,6.419813888769689,5.0008235909067755,19.999309080290274,17.447930767335805
