0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state
5827.537314147447,5842.537314147449,6107.6571422585785,6115.157142258578,6115.157142258581,6122.65714225858,6135.157142258585,6390.27697036971,6402.776970369715,6390.276970369708,6397.7769703697095,6410.276970369714,6427.77697036972,6397.776970369713,6412.776970369715
5802.917529667062,5832.917529661658,6091.915432773146,6114.41543186111,6099.415433679778,6121.915432767742,6134.415434278796,6383.41333618144,6395.913337692495,6398.413334362771,6405.913335269403,6418.413336780458,6435.9133388959335,6390.913337088073,6420.9133370826685
5798.3147158780685,5814.032698330677,6093.507093849881,6101.69957817973,6101.03259197264,6109.2250763024895,6121.7675731737545,6391.207971195946,6403.750468067211,6391.874957403036,6399.400455525795,6411.94295239706,6429.502448016831,6398.733469318705,6414.451451771313
5817.852626632127,5834.110253096272,6089.07763201402,6097.835154079199,6096.577736412986,6105.335258478165,6117.835432476441,6362.802672195569,6375.302846193846,6364.060089861783,6371.560194260749,6384.0603682590245,6401.560611856611,6370.302776594535,6386.56040305868
5828.432096281958,5843.432709993589,6101.803785875354,6109.304283804448,6109.303901657891,6116.804399586985,6129.30459255788,6377.675514062928,6390.1757070338235,6377.6758962094855,6385.176011992022,6397.676204962917,6415.176475122171,6385.175629845466,6400.176243557096
5814.324266708206,5834.979698954749,6114.833509753783,6127.988619577557,6122.333832176553,6135.4889420003265,6147.98947937161,6417.842860273618,6430.343397644901,6423.4976476746215,6430.997970097392,6443.498507468675,6460.999259788471,6425.343182696388,6445.998614942931
5812.125965917913,5827.127563425554,6099.856633075192,6107.358038723679,6107.356824934347,6114.858230582833,6127.358550348091,6390.087364185523,6402.587683950781,6390.088577974855,6397.588769834009,6410.089089599267,6427.589537270628,6397.5875560446775,6412.589153552319
5795.679340819505,5810.679340819505,6089.235340900712,6096.735340900489,6096.735340900935,6104.235340900712,6116.735340901083,6385.291340981992,6397.791340982363,6385.291340981547,6392.79134098177,6405.29134098214,6422.79134098266,6392.791340982215,6407.791340982215
5786.680028334455,5816.680028334391,6084.87025217904,6107.370252178958,6092.370252179058,6114.870252178976,6127.3702521790065,6385.56047602363,6398.06047602366,6400.56047602353,6408.060476023548,6420.560476023578,6438.060476023621,6393.060476023648,6423.060476023585
5815.693834517971,5845.578600936543,6104.815524662675,6127.200290886105,6112.315524857816,6134.700291081247,6147.200291406482,6396.437214872427,6408.937215197662,6411.321980900716,6418.821981095857,6431.321981421093,6448.821981876424,6403.937215067568,6433.82198148614
