0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state,15_state,16_state,17_state,18_state,19_state,20_state,21_state,22_state,23_state,24_state,25_state,26_state,27_state,28_state,29_state
6075.181698328793,6102.44721693546,6325.750046253711,6349.642473169259,6329.123137944831,6353.015564860379,6358.6373843455785,6474.28402336384,6477.65711505496,6577.44275807567,6583.06457756087,6597.962093300099,6601.335184991218,6606.957004476418,6614.827551755698,6580.81584976679,6608.081368373458,6877.883803987046,6905.149322593714,6725.976735185798,6731.598554670998,6727.101099082838,6730.474190773958,6729.349826876918,6874.510712295926,6880.132531781126,6895.030047520355,6898.403139211474,6904.024958696674,6911.895505975954
6066.371103340233,6092.669059830688,6323.635234961372,6349.404434731637,6324.163991681561,6349.933191451826,6350.814452652142,6474.965958020993,6475.494714741182,6581.075618822573,6581.956880022889,6606.31606187265,6606.844818592839,6607.726079793154,6608.959845473595,6581.604375542763,6607.902332033217,6884.265821662004,6910.563778152458,6732.406341882194,6733.28760308251,6732.582594122257,6733.111350842447,6732.935098602384,6883.737064941814,6884.61832614213,6908.977507991891,6909.50626471208,6910.387525912395,6911.621291592836
6076.513982942936,6102.664506602551,6321.496775632786,6332.930165511302,6336.213909413885,6347.647299292401,6372.175855594232,6470.998429037625,6485.715562818724,6571.385279583003,6595.913835884834,6568.101535680419,6582.818669461518,6607.34722576335,6641.6872045859145,6586.102413364101,6612.252937023716,6885.1057201737785,6911.2562438333935,6720.886932987842,6745.415489289673,6725.792644248208,6740.509778029306,6735.60406676894,6870.38858639268,6894.917142694511,6867.104842490096,6881.821976271195,6906.3505325730275,6940.690511395592
6059.4502330066425,6088.837566845153,6319.160972323332,6357.281286764112,6310.4279917210615,6348.548306161842,6333.993338491391,6469.168327574591,6460.43534697232,6575.960718105932,6561.4057504354805,6622.814013148983,6614.081032546712,6599.526064876261,6579.1491101376305,6567.227737503661,6596.615071342171,6867.242448006178,6896.629781844688,6725.96807335719,6711.413105686739,6723.0570798231,6714.324099220829,6717.23509275492,6875.975428608449,6861.420460937998,6922.8287236515,6914.095743049229,6899.540775378779,6879.163820640148
6062.353854014524,6090.690341241973,6315.63137329064,6343.370594663699,6316.228639145032,6343.96786051809,6344.9633036087425,6464.990640542953,6465.587906397344,6569.107981184888,6570.10342427554,6596.249936703555,6596.847202557946,6597.842645648599,6599.236265975512,6569.705247039279,6598.041734266729,6868.423781543905,6896.760268771354,6718.4672484372,6719.462691527853,6718.666337055331,6719.263602909722,6719.064514291592,6867.826515689513,6868.821958780166,6894.968471208181,6895.565737062571,6896.561180153224,6897.954800480137
6064.554687874895,6089.571170657156,6316.633246214503,6340.169086204553,6318.113889006713,6341.649728996764,6344.117466983781,6466.148061525752,6467.628704317963,6569.2053521515145,6571.673090138532,6591.260549349354,6592.741192141565,6595.208930128582,6598.6637633104065,6570.685994943725,6595.702477725986,6869.715625566224,6894.732108348485,6718.720167462764,6721.187905449781,6719.2137150601675,6720.694357852378,6720.200810254974,6868.234982774014,6870.702720761031,6890.290179971853,6891.770822764064,6894.238560751081,6897.693393932906
6070.69400965127,6093.381093570513,6311.834062907437,6324.655495269049,6321.699714465067,6334.521146826681,6350.96389942273,6457.724554034365,6467.590205591994,6556.262666682813,6572.705419278862,6559.218447486795,6569.084099044427,6585.526851640476,6608.546705274946,6566.128318240442,6588.815402159686,6857.909300494301,6880.596384413544,6702.153157809742,6718.595910405791,6705.441708328952,6715.307359886581,6712.018809367371,6848.043648936669,6864.48640153272,6850.999429740654,6860.865081298283,6877.307833894334,6900.327687528803
6058.214729494259,6098.242298960684,6308.015619370137,6344.770528381748,6311.288279824951,6348.043188836562,6353.497622927919,6456.38581549095,6459.658475945765,6558.907396064287,6564.361830155644,6592.389644621084,6595.662305075898,6601.116739167255,6608.752946895155,6562.1800565191015,6602.207625985527,6858.920448760728,6898.948018227153,6707.2775921851,6712.732026276457,6708.368479003371,6711.6411394581855,6710.550252639914,6855.647788305913,6861.10222239727,6889.13003686271,6892.402697317524,6897.857131408881,6905.493339136781
6073.552254826314,6096.011484609047,6323.032296096262,6326.50229611221,6342.021525863046,6345.491525878995,6377.140242156968,6477.587085738267,6496.576315505051,6578.842080621805,6610.490796899778,6563.322850870969,6582.312080637753,6613.960796915727,6658.26899970489,6597.8313103885885,6620.2905401713215,6906.940889672598,6929.400119455331,6733.396870263809,6765.0455865417825,6739.726613519404,6758.715843286188,6752.386100030593,6887.951659905814,6919.600376183787,6872.432430154979,6891.4216599217625,6923.0703761997365,6967.3785789889
6061.695046024089,6089.54950714472,6311.403192473787,6323.800018904726,6326.860827163479,6339.257653594419,6365.020378077239,6464.11853011834,6479.5761648080315,6566.263883820051,6592.026608302871,6563.203075561298,6578.66071025099,6604.423434733811,6640.4912490097595,6581.721518509743,6609.575979630375,6887.1521937988455,6915.006654919477,6718.979221464602,6744.741945947422,6724.131766361166,6739.589401050858,6734.436856154294,6871.6945591091535,6897.4572835919735,6868.6337508504,6884.091385540092,6909.854110022913,6945.921924298862
6061.808955732238,6075.952848288025,6325.187796678423,6339.051274357144,6325.468211555489,6339.33168923421,6339.799047362652,6480.823134826475,6481.103549703541,6588.660109250297,6589.127467378739,6602.243172051953,6602.523586929018,6602.9909450574605,6603.645246437281,6588.940524127363,6603.084416683149,6900.211200423466,6914.355092979253,6744.295447398348,6744.7628055267905,6744.388919024037,6744.669333901103,6744.575862275414,6899.9307855464,6900.398143674843,6913.513848348056,6913.7942632251215,6914.261621353564,6914.915922733384
6061.3225832790085,6096.663909471969,6311.254687276709,6344.743647283525,6313.107053462853,6346.59601346967,6349.683290446577,6459.118412154546,6460.97077834069,6561.804246669791,6564.891523646698,6593.440840490463,6595.293206676607,6598.380483653515,6602.702671421185,6563.656612855935,6598.997939048896,6859.384062611609,6894.72538880457,6709.6679715476275,6712.755248524535,6710.285426943009,6712.137793129154,6711.520337733772,6857.531696425464,6860.618973402372,6889.168290246137,6891.020656432281,6894.107933409188,6898.430121176859
6052.738580228783,6074.856574333434,6312.632777525259,6322.146129025519,6325.237420129651,6334.750771629911,6355.758509303896,6470.746947126375,6483.351589730766,6576.728522356533,6597.736260030519,6573.637231252403,6586.241873856793,6607.249611530779,6636.660444274358,6589.3331649609245,6611.451159065576,6905.561504163155,6927.679498267807,6734.842691957649,6755.850429631634,6739.044239492446,6751.648882096837,6747.44733456204,6892.956861558764,6913.96459923275,6889.865570454634,6902.470213059024,6923.4779507330095,6952.888783476589
6066.902035648045,6102.65480906805,6315.233449825303,6339.817915109815,6326.401757960797,6350.986223245308,6369.600070137797,6465.565515183286,6476.733823318779,6567.287633381061,6585.90148027355,6580.703790530079,6591.872098665573,6610.485945558061,6636.545331207545,6578.455941516554,6614.208714936559,6879.1200722325175,6914.872845652522,6717.619698739042,6736.233545631531,6721.342468117539,6732.510776253033,6728.788006874535,6867.951764097024,6886.565610989513,6881.367921246042,6892.536229381535,6911.150076274024,6937.2094619235095
