0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state,15_state,16_state,17_state,18_state,19_state,20_state,21_state,22_state,23_state,24_state,25_state,26_state
5615.073296811643,5918.16758016048,5925.514917639106,6113.866128778748,6138.178048926913,6121.213466257374,6145.5253864055385,6157.770948869916,6223.710976002191,6235.956538466568,6231.058313480818,6622.455410717355,6419.409524620461,6431.655087084838,6436.374107289999,6443.721444768626,6455.967007233002,6473.110794683129,6421.858637113336,6429.205974591962,6446.170557261501,6453.517894740126,6465.7634572045035,6458.416119725877,6426.756862099087,6615.108073238729,6627.353635703106
5613.817588906127,5926.661754233455,5934.591668425422,6128.917319724924,6146.304905834711,6136.84723391689,6154.234820026677,6167.451343679954,6242.149224291438,6255.365747944716,6250.079138483405,6654.590269466344,6444.404789782908,6457.621313436185,6453.862461700728,6461.7923758926945,6475.008899545972,6493.51203266056,6447.048094513563,6454.97800870553,6464.43568062335,6472.365594815316,6485.582118468594,6477.652204276627,6452.334703974874,6646.660355274377,6659.876878927655
5625.928029698839,5927.42769436205,5924.897883520461,6118.02172759665,6144.210611553642,6115.491916755061,6141.680800712053,6137.464449309404,6228.084088744731,6223.867737342082,6225.554277903142,6606.742344372341,6418.67812197933,6414.461770576681,6447.396816777912,6444.867005936323,6440.650654533673,6434.747762569965,6417.834851698801,6415.305040857212,6444.023735655793,6441.493924814204,6437.277573411555,6439.807384253144,6416.148311137741,6609.27215521393,6605.055803811281
5607.121545312802,5915.3916968909625,5928.064642537811,6116.503850212619,6136.6732325680305,6129.176795859467,6149.346178214879,6170.467754292959,6227.88616368474,6249.00773976282,6240.559109331588,6642.783415974901,6428.998317006396,6450.119893084477,6436.494753714958,6449.167699361807,6470.289275439888,6499.859481949202,6433.222632222012,6445.8955778688605,6453.392014577424,6466.064960224272,6487.186536302353,6474.513590655504,6441.671262653244,6630.1104703280525,6651.232046406133
5617.944093562321,5917.197240991217,5926.842005096069,6111.415878900081,6132.238422830394,6121.060643004934,6141.883186935245,6157.957793776665,6219.665309788398,6235.739916629818,6229.31007389325,6617.747349710978,6413.883947697263,6429.958554538683,6425.061727522722,6434.706491627574,6450.781098468994,6473.2855480469825,6417.098869065546,6426.743633170398,6437.921412995858,6447.56617710071,6463.64078394213,6453.996019837278,6423.528711802114,6608.102585606126,6624.177192447546
5621.836946169427,5926.790373431356,5935.445956968499,6124.199159269425,6139.836725139702,6132.854742806568,6148.492308676844,6162.918281238749,6234.628995205666,6249.054967767571,6243.284578742809,6638.102150418946,6432.037781043735,6446.46375360564,6439.0197633768685,6447.675346914011,6462.101319475916,6482.297681062582,6434.9229755561155,6443.578559093258,6450.560541426393,6459.216124963535,6473.64209752544,6464.986513988297,6440.693364580878,6629.446566881803,6643.872539443708
5629.679249455965,5920.137926638299,5925.241953264054,6106.862963487616,6134.1006101362045,6111.966990113371,6139.20463676196,6147.711347804885,6212.29794602922,6220.804657072145,6217.401972654975,6590.852046353607,6399.022982878536,6407.529693921461,6421.156602901369,6426.260629527124,6434.76734057005,6446.676736030145,6400.724325087121,6405.828351712876,6427.961971735709,6433.065998361464,6441.57270940439,6436.4686827786345,6404.127009504291,6585.748019727852,6594.254730770777
5606.218917883069,5918.949750253167,5926.480714847755,6121.0273607099625,6144.809198232582,6128.558325304551,6152.3401628271695,6164.891770484815,6234.190904154796,6246.742511812442,6241.721868749383,6645.877089662973,6436.268514611591,6448.820122269237,6452.519387539623,6460.05035213421,6472.601959791856,6490.17421051256,6438.778836143119,6446.3098007377075,6462.560673665739,6470.091638260326,6482.643245917972,6475.112281323385,6443.799479206178,6638.346125068386,6650.897732726032
5599.182289250131,5909.909174094963,5920.929761671767,6111.884557689161,6125.405600130741,6122.905145265964,6136.426187707545,6154.793833668885,6224.309588132062,6242.677234093402,6235.330175708867,6639.280942897262,6426.28497172626,6444.6526176876,6428.785426591036,6439.806014167841,6458.1736601291805,6483.888364475056,6429.958500918528,6440.979088495332,6443.479543360108,6454.500130936913,6472.8677768982525,6461.847189321448,6437.305559303064,6628.260355320458,6646.628001281798
5608.728305021854,5897.6921907061715,5908.6080755941,6085.801324256384,6099.00956844237,6096.717209144313,6109.925453330299,6128.11859481018,6190.294704686464,6208.487846166345,6201.2105895743925,6577.428856674818,6378.403838236676,6396.596979716557,6380.696197534734,6391.612082422663,6409.805223902544,6435.275621974378,6382.042466532653,6392.9583514205815,6395.250710718639,6406.166595606568,6424.359737086449,6413.44385219852,6389.319723124605,6566.5129717868895,6584.70611326677
5607.392844743799,5908.548731866971,5916.306223086876,6103.079115786272,6139.774204810881,6110.8366070061775,6147.531696030787,6160.460848063964,6212.290449396777,6225.219601429953,6220.047940616683,6609.1087084552855,6406.820833316078,6419.7499853492545,6435.758431120782,6443.515922340688,6456.445074373864,6474.545887220311,6409.406663722714,6417.1641549426195,6446.101752747323,6453.859243967229,6466.788396000406,6459.030904780499,6414.578324535984,6601.351217235379,6614.280369268556
5615.960953012386,5913.085101951663,5922.499676780988,6105.926638446588,6116.078641699711,6115.341213275913,6125.493216529036,6141.18417457791,6213.347442500713,6229.038400549588,6222.762017330038,6608.4450903198895,6406.188978995639,6421.879937044514,6406.926407419438,6416.340982248763,6432.0319402976365,6453.999281566061,6409.327170605415,6418.74174543474,6419.479173858537,6428.893748687862,6444.584706736737,6435.170131907412,6415.603553824964,6599.0305154905645,6614.721473539439
5628.164910945582,5926.6932862992535,5935.289976778834,6120.096521056674,6132.447901824501,6128.693211536254,6141.044592304082,6155.372409770049,6228.087225146119,6242.415042612086,6236.683915625699,6623.490385140538,6421.490459903538,6435.818277369505,6425.245150191786,6433.841840671365,6448.169658137333,6468.228602589687,6424.356023396732,6432.952713876312,6436.707404164559,6445.30409464414,6459.631912110107,6451.035221630526,6430.087150383119,6614.893694660957,6629.221512126925
5614.339366175383,5914.272344073738,5923.00852018834,6108.577620159683,6130.762983858351,6117.313796274285,6139.499159972952,6154.059453497289,6217.117380676962,6231.677674201299,6225.853556791564,6614.464108963453,6411.422656762907,6425.9829502872435,6424.8718443469725,6433.608020461575,6448.168313985911,6468.552724919981,6414.334715467774,6423.070891582376,6436.520079166442,6445.256255281043,6459.81654880538,6451.080372690778,6420.158832877509,6605.727932848851,6620.288226373188
5619.076560653798,5916.779083965181,5927.512379302152,6110.513089887848,6129.48207717724,6121.246385224819,6140.215372514211,6158.10419807583,6218.059372388888,6235.948197950507,6228.792667725859,6616.260679571194,6411.793378311555,6429.682203873174,6420.029070263976,6430.762365600946,6448.651191162566,6473.695546948832,6415.3711434238785,6426.10443876085,6434.340130713271,6445.073426050241,6462.962251611861,6452.228956274889,6422.526673648526,6605.527384234222,6623.4162097958415
5618.031742427784,5920.193406721571,5926.108985419171,6114.911256798752,6146.871699196384,6120.826835496353,6152.787277893985,6162.646575723321,6224.326930581224,6234.186228410559,6230.242509278825,6619.678209433188,6419.044780658405,6428.904078487741,6445.089644358436,6451.005223056038,6460.864520885373,6474.667537846442,6421.016640224273,6426.932218921874,6452.977082621905,6458.892661319506,6468.751959148842,6462.83638045124,6424.960359356007,6613.762630735587,6623.621928564922
5625.634181450525,5935.899755501387,5941.594769380894,6135.499022263928,6161.126867072917,6141.194036143435,6166.821880952423,6176.313570751602,6248.063667512083,6257.555357311262,6253.7586813915905,6652.957214916674,6447.6629342746255,6457.154624073804,6467.595765204107,6473.290779083614,6482.782468882792,6496.070834601642,6449.561272234461,6455.256286113969,6475.18911704345,6480.8841309229565,6490.375820722135,6484.680806842628,6453.357948154133,6647.262201037167,6656.753890836346
5607.912118503706,5918.9627089915175,5924.222504781101,6118.712960977808,6140.01459186562,6123.972756767389,6145.274387655201,6154.0407139711715,6231.766564742526,6240.532891058496,6237.026360532107,6636.526864504685,6431.516816728814,6440.283143044784,6447.558651827045,6452.818447616628,6461.584773932596,6473.857630774955,6433.270081992008,6438.5298777815915,6454.571712879821,6459.831508669404,6468.597834985374,6463.338039195791,6436.776612518397,6631.267068715102,6640.033395031072
5612.894359442442,5924.536430371516,5928.745637485223,6124.315136130162,6145.853976410218,6128.524343243868,6150.063183523925,6157.078528713436,6237.581570338492,6244.596915528004,6241.790777452199,6641.3481889694895,6437.360276097137,6444.375621286648,6454.689909263487,6458.899116377193,6465.914461566705,6475.73594483202,6438.763345135039,6442.972552248746,6460.302185415096,6464.511392528802,6471.526737718314,6467.317530604607,6441.569483210844,6637.138981855783,6644.154327045294
5606.062494863849,5914.661706186948,5917.484486153891,6112.560613428891,6149.737165792951,6115.383393395834,6152.559945759893,6157.264579038131,6224.201844165696,6228.906477443934,6227.024624132639,6622.822438616524,6422.100751407638,6426.805384685877,6456.454523804755,6459.277303771698,6463.981937049935,6470.568423639468,6423.041678063286,6425.864458030229,6460.218230427346,6463.041010394288,6467.745643672526,6464.922863705583,6424.923531374581,6619.999658649581,6624.704291927819
5611.411014174046,5915.873292447474,5923.572899842925,6112.971836531085,6149.546251174416,6120.671443926535,6157.245858569868,6170.078537562285,6222.9021065193865,6235.734785511804,6230.601713914837,6624.798802082058,6420.000650602997,6432.833329595414,6448.875457850878,6456.575065246328,6469.407744238747,6487.373494828133,6422.56718640148,6430.266793796931,6459.141601044812,6466.8412084402635,6479.673887432681,6471.9742800372305,6427.700257998447,6617.099194686607,6629.931873679025
5608.140440007488,5917.498704774766,5916.677256704751,6114.184727026954,6139.388282314676,6113.363278956938,6138.566834244661,6137.197754127968,6226.583153518705,6225.214073402013,6225.76170544869,6619.133749953066,6423.2691757708935,6421.900095654201,6449.294179128631,6448.472731058616,6447.103650941924,6445.186938778555,6422.995359747555,6422.17391167754,6448.198915035277,6447.377466965262,6446.00838684857,6446.829834918585,6422.447727700878,6619.955198023082,6618.5861179063895
5622.876537195323,5919.038783222889,5917.698713161508,6106.671696428205,6138.916989213932,6105.331626366824,6137.5769191525505,6135.343469050249,6214.754339229994,6212.5208891276925,6213.414269168613,6588.680095579247,6402.387252435311,6400.1538023330095,6435.972615282419,6434.632545221038,6432.399095118736,6429.272264975513,6401.94056241485,6400.600492353469,6434.185855200577,6432.845785139196,6430.612335036894,6431.952405098275,6401.04718237393,6590.020165640628,6587.7867155383265
